humidity,pressure,acceleration,data_format,battery,temperature,acceleration_z,acceleration_y,acceleration_x,time,device_mac
34.5,1019.55,1039.2218242512038,3,3175,22.2,1039,-19,10,2019-09-22T20:42:06.628495,E4:49:12:58:E8:AF
34.5,1019.55,1035.2183344589682,3,3181,22.2,1035,-16,14,2019-09-22T20:43:02.907393,E4:49:12:58:E8:AF
34.5,1019.55,1034.1876038707871,3,3181,22.2,1034,-18,8,2019-09-22T20:44:03.219530,E4:49:12:58:E8:AF
34.5,1019.55,1035.154577828838,3,3175,22.2,1035,-16,8,2019-09-22T20:45:03.433672,E4:49:12:58:E8:AF
34.5,1019.55,1034.147474976369,3,3181,22.2,1034,-16,7,2019-09-22T20:46:03.737658,E4:49:12:58:E8:AF
34.5,1019.56,1042.2312603256535,3,3181,22.2,1042,-19,11,2019-09-22T20:47:06.022412,E4:49:12:58:E8:AF
34.5,1019.57,1037.2555133620644,3,3181,22.19,1037,-19,13,2019-09-22T20:48:04.315679,E4:49:12:58:E8:AF
34.5,1019.56,1036.1877243048193,3,3181,22.19,1036,-17,10,2019-09-22T20:49:04.654890,E4:49:12:58:E8:AF
34.5,1019.55,1038.22203790904,3,3181,22.19,1038,-19,10,2019-09-22T20:50:02.915114,E4:49:12:58:E8:AF
34.5,1019.55,1036.138986815958,3,3181,22.19,1036,-12,12,2019-09-22T20:55:03.469943,E4:49:12:58:E8:AF
34.0,1019.57,1042.196718474972,3,3181,22.18,1042,-17,11,2019-09-22T21:00:04.922568,E4:49:12:58:E8:AF
34.0,1019.57,1037.1976667925935,3,3175,22.17,1037,-17,11,2019-09-22T21:05:03.357670,E4:49:12:58:E8:AF
34.0,1019.62,1034.1629465417914,3,3181,22.17,1034,-16,9,2019-09-22T21:10:07.955314,E4:49:12:58:E8:AF
34.0,1019.66,1037.202969529108,3,3187,22.17,1037,-15,14,2019-09-22T21:11:40.298682,E4:49:12:58:E8:AF
34.0,1019.67,1038.2042188317287,3,3181,22.16,1038,-18,10,2019-09-22T21:15:07.326471,E4:49:12:58:E8:AF
34.0,1019.7,1035.2033616637843,3,3181,22.16,1035,-15,14,2019-09-22T21:20:07.804125,E4:49:12:58:E8:AF
33.5,1019.72,1041.2732590439457,3,3181,22.15,1041,-20,13,2019-09-22T21:25:07.228748,E4:49:12:58:E8:AF
33.5,1019.8,1036.171800426937,3,3175,22.15,1036,-16,10,2019-09-22T21:30:06.747707,E4:49:12:58:E8:AF
33.5,1019.84,1034.2228966716991,3,3193,22.13,1034,-19,10,2019-09-22T21:35:06.258716,E4:49:12:58:E8:AF
33.5,1019.92,1034.1629465417914,3,3181,22.13,1034,-16,9,2019-09-22T21:40:06.622650,E4:49:12:58:E8:AF
33.5,1019.91,1035.195633684764,3,3175,22.12,1035,-18,9,2019-09-22T21:45:06.104063,E4:49:12:58:E8:AF
33.5,1019.92,1036.1336786341808,3,3181,22.12,1036,-14,9,2019-09-22T21:50:06.413517,E4:49:12:58:E8:AF
33.5,1019.94,1035.1473325087593,3,3181,22.12,1035,-16,7,2019-09-22T21:55:06.846174,E4:49:12:58:E8:AF
33.5,1020.01,1036.2050955288726,3,3181,22.11,1036,-19,8,2019-09-22T22:00:06.290548,E4:49:12:58:E8:AF
33.5,1020.1,1038.2316697153867,3,3181,22.11,1038,-20,9,2019-09-22T22:05:06.689231,E4:49:12:58:E8:AF
33.5,1020.11,1034.2417512361412,3,3187,22.1,1034,-20,10,2019-09-22T22:10:06.128704,E4:49:12:58:E8:AF
33.5,1020.16,1036.1631145722183,3,3181,22.1,1036,-13,13,2019-09-22T22:15:06.629290,E4:49:12:58:E8:AF
33.5,1020.12,1036.1978575542414,3,3187,22.09,1036,-17,11,2019-09-22T22:20:07.141890,E4:49:12:58:E8:AF
33.5,1020.14,1037.260815802853,3,3181,22.09,1037,-21,10,2019-09-22T22:25:06.640469,E4:49:12:58:E8:AF
33.5,1020.16,1038.2254090514257,3,3175,22.08,1038,-18,12,2019-09-22T22:30:06.119654,E4:49:12:58:E8:AF
33.5,1020.14,1033.1824621043468,3,3187,22.08,1033,-16,11,2019-09-22T22:35:06.472225,E4:49:12:58:E8:AF
33.0,1020.16,1039.2506916042923,3,3175,22.07,1039,-20,11,2019-09-22T22:40:06.948329,E4:49:12:58:E8:AF
