temperature,pressure,acceleration_z,battery,acceleration,acceleration_y,acceleration_x,data_format,humidity,time,device_mac
21.99,1020.32,1035,3181,1035.2135045486993,-19,9,3,32.5,2019-09-23T00:00:07.096178,E4:49:12:58:E8:AF
21.99,1020.38,1035,3187,1035.1879056480518,-17,10,3,32.5,2019-09-23T00:05:06.457185,E4:49:12:58:E8:AF
21.99,1020.39,1041,3181,1041.2213981665955,-19,10,3,32.5,2019-09-23T00:10:06.875101,E4:49:12:58:E8:AF
21.99,1020.43,1040,3181,1040.270157218787,-21,11,3,32.5,2019-09-23T00:15:07.322998,E4:49:12:58:E8:AF
21.98,1020.46,1035,3181,1035.27146198473,-21,11,3,32.5,2019-09-23T00:20:06.831661,E4:49:12:58:E8:AF
21.98,1020.47,1041,3181,1041.2021897787192,-15,14,3,32.5,2019-09-23T00:25:07.259522,E4:49:12:58:E8:AF
21.98,1020.45,1039,3175,1039.2949533217218,-18,17,3,32.5,2019-09-23T00:30:06.807846,E4:49:12:58:E8:AF
21.98,1020.47,1039,3181,1039.2935100345812,-21,13,3,32.5,2019-09-23T00:35:07.128646,E4:49:12:58:E8:AF
21.97,1020.44,1035,3181,1035.1787285295231,-17,9,3,32.5,2019-09-23T00:40:06.601750,E4:49:12:58:E8:AF
21.97,1020.46,1043,3175,1043.203719318523,-19,8,3,32.5,2019-09-23T00:45:09.025425,E4:49:12:58:E8:AF
21.96,1020.45,1035,3181,1035.1338077755938,-14,9,3,32.5,2019-09-23T00:50:06.461212,E4:49:12:58:E8:AF
21.96,1020.48,1036,3175,1036.1703527895402,-17,8,3,32.5,2019-09-23T00:55:08.958290,E4:49:12:58:E8:AF
21.96,1020.49,1034,3181,1034.1895377540811,-14,14,3,32.5,2019-09-23T01:00:07.358878,E4:49:12:58:E8:AF
21.95,1020.48,1036,3181,1036.2480398051423,-17,15,3,32.5,2019-09-23T01:05:06.783529,E4:49:12:58:E8:AF
21.95,1020.44,1037,3181,1037.2130928599001,-19,9,3,32.5,2019-09-23T01:10:06.215872,E4:49:12:58:E8:AF
21.95,1020.45,1034,3181,1034.1634300244812,-17,7,3,32.0,2019-09-23T01:15:06.716006,E4:49:12:58:E8:AF
21.94,1020.49,1034,3181,1034.178901351212,-17,9,3,32.0,2019-09-23T01:20:06.174377,E4:49:12:58:E8:AF
21.94,1020.49,1040,3175,1040.156238264233,-15,10,3,32.0,2019-09-23T01:25:07.583030,E4:49:12:58:E8:AF
21.93,1020.53,1038,3181,1038.250933060019,-20,11,3,32.0,2019-09-23T01:30:07.143146,E4:49:12:58:E8:AF
21.93,1020.55,1035,3181,1035.1627891302894,-16,9,3,32.0,2019-09-23T01:35:07.637428,E4:49:12:58:E8:AF
21.92,1020.54,1036,3181,1036.1930322097326,-16,12,3,32.0,2019-09-23T01:40:07.995257,E4:49:12:58:E8:AF
21.92,1020.53,1036,3181,1036.3213787238012,-21,15,3,32.0,2019-09-23T01:45:06.489410,E4:49:12:58:E8:AF
21.91,1020.51,1031,3175,1031.182815993362,-16,11,3,32.0,2019-09-23T01:50:07.016420,E4:49:12:58:E8:AF
21.91,1020.46,1036,3175,1036.2132985056696,-19,9,3,32.0,2019-09-23T01:55:06.407332,E4:49:12:58:E8:AF
21.9,1020.47,1033,3181,1033.153425198794,-14,11,3,32.0,2019-09-23T02:00:06.879593,E4:49:12:58:E8:AF
21.9,1020.52,1033,3187,1033.1674598050406,-15,11,3,32.0,2019-09-23T02:05:06.277827,E4:49:12:58:E8:AF
21.9,1020.48,1031,3187,1031.1726334615364,-16,10,3,32.0,2019-09-23T02:10:06.761080,E4:49:12:58:E8:AF
21.9,1020.47,1035,3181,1035.1478155316756,-15,9,3,32.0,2019-09-23T02:15:06.291919,E4:49:12:58:E8:AF
21.89,1020.46,1037,3181,1037.243462259464,-19,12,3,32.0,2019-09-23T02:20:06.749324,E4:49:12:58:E8:AF
21.89,1020.47,1041,3181,1041.1892239165752,-15,13,3,32.0,2019-09-23T02:25:07.234893,E4:49:12:58:E8:AF
21.88,1020.48,1037,3181,1037.1475304892742,-15,9,3,32.0,2019-09-23T02:30:06.629626,E4:49:12:58:E8:AF
21.88,1020.46,1040,3181,1040.1471049808292,-15,9,3,32.0,2019-09-23T02:35:07.169550,E4:49:12:58:E8:AF
21.88,1020.41,1033,3181,1033.1674598050406,-15,11,3,32.0,2019-09-23T02:40:07.568082,E4:49:12:58:E8:AF
