acceleration,acceleration_x,pressure,temperature,acceleration_z,acceleration_y,battery,data_format,humidity,time,device_mac
1036.2321168541341,9,1016.66,22.03,1036,-20,3175,3,32.0,2019-09-24T00:00:06.748353,E4:49:12:58:E8:AF
1034.178901351212,9,1016.65,22.03,1034,-17,3175,3,32.0,2019-09-24T00:05:07.217257,E4:49:12:58:E8:AF
1035.2091576101905,12,1016.63,22.03,1035,-17,3169,3,32.0,2019-09-24T00:10:06.598988,E4:49:12:58:E8:AF
1035.1903206657219,13,1016.63,22.03,1035,-15,3169,3,32.0,2019-09-24T00:15:08.101430,E4:49:12:58:E8:AF
1037.2236981480899,8,1016.58,22.03,1037,-20,3169,3,32.0,2019-09-24T00:20:07.504451,E4:49:12:58:E8:AF
1033.3082792661637,14,1016.52,22.03,1033,-21,3169,3,32.0,2019-09-24T00:25:07.079612,E4:49:12:58:E8:AF
1035.2627685761718,12,1016.46,22.03,1035,-20,3175,3,32.5,2019-09-24T00:30:06.453033,E4:49:12:58:E8:AF
1035.2091576101905,12,1016.43,22.03,1035,-17,3163,3,32.5,2019-09-24T00:35:06.812740,E4:49:12:58:E8:AF
1035.1719663901258,10,1016.35,22.03,1035,-16,3175,3,32.5,2019-09-24T00:40:07.259105,E4:49:12:58:E8:AF
1034.2093598493489,12,1016.32,22.03,1034,-17,3163,3,32.5,2019-09-24T00:45:06.821869,E4:49:12:58:E8:AF
1036.2412846436875,10,1016.31,22.03,1036,-20,3163,3,32.5,2019-09-24T00:50:06.220313,E4:49:12:58:E8:AF
1033.223112401189,10,1016.28,22.03,1033,-19,3163,3,32.5,2019-09-24T00:55:06.705760,E4:49:12:58:E8:AF
1034.1764839716673,14,1016.25,22.03,1034,-13,3163,3,32.5,2019-09-24T01:00:07.017687,E4:49:12:58:E8:AF
1034.2151613663377,11,1016.19,22.03,1034,-18,3163,3,32.5,2019-09-24T01:05:06.390576,E4:49:12:58:E8:AF
1040.2023841541607,14,1016.17,22.03,1040,-15,3163,3,32.5,2019-09-24T01:10:06.815443,E4:49:12:58:E8:AF
1042.259564599913,10,1016.15,22.03,1042,-21,3175,3,32.5,2019-09-24T01:15:07.290649,E4:49:12:58:E8:AF
1032.1986242967,11,1016.15,22.03,1032,-17,3163,3,32.5,2019-09-24T01:20:06.688542,E4:49:12:58:E8:AF
1037.1542797481964,8,1016.12,22.02,1037,-16,3163,3,32.5,2019-09-24T01:25:07.198977,E4:49:12:58:E8:AF
1036.2239140263073,8,1016.12,22.02,1036,-20,3175,3,32.5,2019-09-24T01:30:08.672166,E4:49:12:58:E8:AF
1037.2362315306962,7,1016.14,22.02,1037,-21,3163,3,32.5,2019-09-24T01:35:07.071282,E4:49:12:58:E8:AF
1038.2913849204374,11,1016.1,22.02,1038,-22,3163,3,32.5,2019-09-24T01:40:06.667548,E4:49:12:58:E8:AF
1036.2147460830695,11,1016.07,22.02,1036,-18,3175,3,32.5,2019-09-24T01:45:07.022202,E4:49:12:58:E8:AF
1036.1819338320854,11,1016.06,22.02,1036,-16,3163,3,32.5,2019-09-24T01:50:08.561338,E4:49:12:58:E8:AF
1038.1714694596458,10,1016.04,22.02,1038,-16,3163,3,32.5,2019-09-24T01:55:07.841731,E4:49:12:58:E8:AF
1039.1814086096806,11,1016.0,22.01,1039,-16,3169,3,32.5,2019-09-24T02:00:06.250837,E4:49:12:58:E8:AF
1035.180177553647,7,1015.94,22.02,1035,-18,3175,3,32.5,2019-09-24T02:05:06.712839,E4:49:12:58:E8:AF
1035.1642381767253,4,1015.87,22.01,1035,-18,3163,3,32.5,2019-09-24T02:10:07.279569,E4:49:12:58:E8:AF
1036.1399519369959,11,1015.85,22.01,1036,-13,3169,3,32.5,2019-09-24T02:15:06.762451,E4:49:12:58:E8:AF
1033.1790745074156,9,1015.84,22.01,1033,-17,3163,3,32.5,2019-09-24T02:20:07.155415,E4:49:12:58:E8:AF
1036.1640796707827,12,1015.79,22.01,1036,-14,3163,3,32.5,2019-09-24T02:25:06.579833,E4:49:12:58:E8:AF
1038.154131138532,8,1015.79,22.01,1038,-16,3163,3,32.5,2019-09-24T02:30:07.057647,E4:49:12:58:E8:AF
1029.2103769395255,12,1015.79,22.01,1029,-17,3163,3,32.5,2019-09-24T02:35:06.516875,E4:49:12:58:E8:AF
1037.181758420384,11,1015.77,22.0,1037,-16,3163,3,32.5,2019-09-24T02:40:08.978592,E4:49:12:58:E8:AF
1040.2230530035374,8,1015.74,22.01,1040,-20,3169,3,32.5,2019-09-24T02:45:06.548865,E4:49:12:58:E8:AF
1034.2214463063508,13,1015.68,22.01,1034,-17,3163,3,32.5,2019-09-24T02:50:06.886959,E4:49:12:58:E8:AF
1037.2555133620644,13,1015.63,22.0,1037,-19,3163,3,32.5,2019-09-24T02:55:06.381350,E4:49:12:58:E8:AF
1035.141053190337,6,1015.57,22.0,1035,-16,3169,3,32.5,2019-09-24T03:00:07.823574,E4:49:12:58:E8:AF
1033.2332747255093,11,1015.53,22.0,1033,-19,3169,3,32.5,2019-09-24T03:05:06.185614,E4:49:12:58:E8:AF
1035.221232394313,13,1015.51,22.0,1035,-17,3175,3,32.5,2019-09-24T03:10:08.705232,E4:49:12:58:E8:AF
1037.181758420384,11,1015.47,22.0,1037,-16,3163,3,32.5,2019-09-24T03:15:07.095515,E4:49:12:58:E8:AF
1036.1409170571346,6,1015.43,22.0,1036,-16,3175,3,32.5,2019-09-24T03:20:06.554827,E4:49:12:58:E8:AF
1033.223112401189,10,1015.45,22.0,1033,-19,3163,3,32.5,2019-09-24T03:25:07.058879,E4:49:12:58:E8:AF
1036.2132985056696,9,1015.42,22.0,1036,-19,3163,3,32.5,2019-09-24T03:30:06.496575,E4:49:12:58:E8:AF
1036.2412846436875,10,1015.38,22.0,1036,-20,3169,3,32.5,2019-09-24T03:35:07.914444,E4:49:12:58:E8:AF
1038.177730448886,12,1015.3,21.99,1038,-15,3163,3,32.5,2019-09-24T03:40:06.406387,E4:49:12:58:E8:AF
