humidity,battery,acceleration_z,pressure,acceleration_y,data_format,temperature,acceleration,acceleration_x,time,device_mac
33.0,3145,1034,1010.97,-17,3,22.25,1034.1982401841535,11,2019-09-25T00:00:06.902020,E4:49:12:58:E8:AF
33.0,3157,1036,1011.01,-13,3,22.24,1036.1298181212624,10,2019-09-25T00:05:06.308603,E4:49:12:58:E8:AF
33.0,3157,1037,1010.98,-17,3,22.24,1037.2087543016594,12,2019-09-25T00:10:06.739816,E4:49:12:58:E8:AF
33.0,3157,1040,1010.94,-17,3,22.24,1040.2081522464625,12,2019-09-25T00:15:06.127462,E4:49:12:58:E8:AF
33.0,3157,1034,1010.95,-20,3,22.24,1034.2630226397926,12,2019-09-25T00:20:06.601848,E4:49:12:58:E8:AF
33.0,3157,1037,1010.92,-20,3,22.24,1037.2318930692404,9,2019-09-25T00:25:06.952223,E4:49:12:58:E8:AF
33.0,3157,1034,1010.87,-17,3,22.23,1034.1982401841535,11,2019-09-25T00:30:06.427610,E4:49:12:58:E8:AF
33.0,3157,1035,1010.87,-19,3,22.23,1035.2328240545698,11,2019-09-25T00:35:07.843921,E4:49:12:58:E8:AF
33.0,3163,1040,1010.78,-19,3,22.23,1040.2216110041168,10,2019-09-25T00:40:06.239600,E4:49:12:58:E8:AF
33.0,3157,1038,1010.73,-16,3,22.22,1038.162318715142,9,2019-09-25T00:45:06.654282,E4:49:12:58:E8:AF
33.0,3157,1037,1010.69,-17,3,22.22,1037.1783838858194,9,2019-09-25T00:50:07.184706,E4:49:12:58:E8:AF
33.0,3157,1032,1010.69,-14,3,22.21,1032.1434008896244,10,2019-09-25T00:55:06.733956,E4:49:12:58:E8:AF
33.0,3157,1035,1010.64,-18,3,22.21,1035.2381368554773,13,2019-09-25T01:00:08.149409,E4:49:12:58:E8:AF
33.0,3157,1039,1010.63,-17,3,22.21,1039.169860994823,8,2019-09-25T01:05:06.517136,E4:49:12:58:E8:AF
33.0,3157,1037,1010.62,-19,3,22.2,1037.2130928599001,9,2019-09-25T01:10:06.960058,E4:49:12:58:E8:AF
33.0,3157,1032,1010.63,-19,3,22.2,1032.214125072894,9,2019-09-25T01:15:06.319879,E4:49:12:58:E8:AF
