humidity,acceleration_z,data_format,acceleration_x,acceleration,battery,acceleration_y,temperature,pressure,time,device_mac
34.5,1036,3,10,1036.222466461715,3151,-19,22.39,1010.91,2019-09-26T00:00:06.362992,E4:49:12:58:E8:AF
34.5,1034,3,10,1034.2228966716991,3151,-19,22.38,1010.93,2019-09-26T00:05:06.876032,E4:49:12:58:E8:AF
34.5,1037,3,10,1037.1716347837516,3151,-16,22.38,1010.87,2019-09-26T00:10:06.327168,E4:49:12:58:E8:AF
34.5,1033,3,11,1033.1282592205093,3151,-12,22.38,1010.95,2019-09-26T00:15:07.794514,E4:49:12:58:E8:AF
34.5,1033,3,13,1033.316021360358,3151,-22,22.38,1010.96,2019-09-26T00:20:07.249237,E4:49:12:58:E8:AF
34.5,1037,3,10,1037.260815802853,3151,-21,22.38,1010.96,2019-09-26T00:25:08.655714,E4:49:12:58:E8:AF
34.5,1040,3,10,1040.1711397649908,3151,-16,22.37,1010.93,2019-09-26T00:30:06.122823,E4:49:12:58:E8:AF
34.5,1036,3,10,1036.2610674921643,3145,-21,22.37,1010.91,2019-09-26T00:35:06.601821,E4:49:12:58:E8:AF
34.5,1037,3,10,1037.1427095631536,3145,-14,22.37,1010.91,2019-09-26T00:40:06.992720,E4:49:12:58:E8:AF
34.5,1037,3,13,1037.2940759495352,3145,-21,22.37,1010.87,2019-09-26T00:45:07.498380,E4:49:12:58:E8:AF
34.5,1035,3,13,1035.1763134848093,3145,-14,22.37,1010.84,2019-09-26T00:50:06.919234,E4:49:12:58:E8:AF
34.5,1034,3,8,1034.2243470350136,3151,-20,22.37,1010.87,2019-09-26T00:55:06.423041,E4:49:12:58:E8:AF
34.5,1038,3,9,1038.2128876102433,3151,-19,22.37,1010.89,2019-09-26T01:00:06.827515,E4:49:12:58:E8:AF
34.5,1032,3,13,1032.2388289538424,3151,-18,22.37,1010.91,2019-09-26T01:05:06.244272,E4:49:12:58:E8:AF
34.5,1033,3,9,1033.2139178311527,3151,-19,22.36,1010.88,2019-09-26T01:10:06.733025,E4:49:12:58:E8:AF
34.5,1040,3,13,1040.2547764850685,3145,-19,22.36,1010.86,2019-09-26T01:15:07.229426,E4:49:12:58:E8:AF
34.5,1038,3,10,1038.22203790904,3145,-19,22.36,1010.82,2019-09-26T01:20:06.622576,E4:49:12:58:E8:AF
34.5,1035,3,5,1035.1685853038625,3157,-18,22.36,1010.82,2019-09-26T01:25:06.961293,E4:49:12:58:E8:AF
34.5,1040,3,11,1040.21392030678,3151,-18,22.36,1010.83,2019-09-26T01:30:06.513632,E4:49:12:58:E8:AF
34.5,1038,3,12,1038.2254090514257,3151,-18,22.36,1010.82,2019-09-26T01:35:06.925358,E4:49:12:58:E8:AF
34.5,1036,3,13,1036.1901369922414,3151,-15,22.35,1010.82,2019-09-26T01:40:06.448101,E4:49:12:58:E8:AF
34.0,1036,3,12,1036.2089557613367,3151,-17,22.35,1010.85,2019-09-26T01:45:06.989881,E4:49:12:58:E8:AF
34.0,1037,3,16,1037.2627439564192,3157,-17,22.35,1010.87,2019-09-26T01:50:06.513013,E4:49:12:58:E8:AF
34.0,1036,3,9,1036.2726475209117,3151,-22,22.35,1010.86,2019-09-26T01:55:07.013109,E4:49:12:58:E8:AF
34.0,1039,3,11,1039.231927915997,3151,-19,22.35,1010.86,2019-09-26T02:00:07.413567,E4:49:12:58:E8:AF
34.0,1038,3,10,1038.2042188317287,3151,-18,22.34,1010.85,2019-09-26T02:05:07.906470,E4:49:12:58:E8:AF
34.0,1032,3,11,1032.1676220459542,3157,-15,22.34,1010.8,2019-09-26T02:10:07.360335,E4:49:12:58:E8:AF
34.0,1038,3,9,1038.195068375881,3151,-18,22.34,1010.81,2019-09-26T02:15:06.846979,E4:49:12:58:E8:AF
34.0,1041,3,7,1041.1969074099288,3157,-19,22.34,1010.79,2019-09-26T02:20:06.317647,E4:49:12:58:E8:AF
34.0,1031,3,12,1031.209968920006,3145,-17,22.33,1010.77,2019-09-26T02:25:07.683579,E4:49:12:58:E8:AF
34.0,1035,3,11,1035.214953524146,3157,-18,22.33,1010.8,2019-09-26T02:30:07.082230,E4:49:12:58:E8:AF
34.0,1032,3,12,1032.2446415457916,3145,-19,22.33,1010.81,2019-09-26T02:35:06.542291,E4:49:12:58:E8:AF
34.0,1036,3,13,1036.1901369922414,3157,-15,22.33,1010.84,2019-09-26T02:40:06.971375,E4:49:12:58:E8:AF
34.0,1041,3,9,1041.1776985702297,3139,-17,22.32,1010.8,2019-09-26T02:45:08.471980,E4:49:12:58:E8:AF
34.0,1033,3,14,1033.2516634392612,3145,-18,22.32,1010.8,2019-09-26T02:50:06.931931,E4:49:12:58:E8:AF
34.0,1031,3,11,1031.1988169116564,3151,-17,22.32,1010.78,2019-09-26T02:55:06.302954,E4:49:12:58:E8:AF
34.0,1036,3,7,1036.1182364962021,3151,-14,22.31,1010.78,2019-09-26T03:00:06.811909,E4:49:12:58:E8:AF
34.0,1040,3,12,1040.2081522464625,3145,-17,22.31,1010.78,2019-09-26T03:05:07.218659,E4:49:12:58:E8:AF
34.0,1037,3,10,1037.241052022142,3151,-20,22.31,1010.74,2019-09-26T03:10:06.833144,E4:49:12:58:E8:AF
34.0,1039,3,9,1039.1780405686025,3145,-17,22.31,1010.74,2019-09-26T03:15:06.254791,E4:49:12:58:E8:AF
