acceleration_x,acceleration_y,pressure,data_format,temperature,humidity,battery,acceleration,acceleration_z,time,device_mac
10,-15,1012.76,3,22.51,31.0,3145,1033.1572968333526,1033,2019-09-27T00:00:06.507607,E4:49:12:58:E8:AF
8,-16,1012.71,3,22.51,31.0,3151,1040.1538347763758,1040,2019-09-27T00:05:09.060364,E4:49:12:58:E8:AF
9,-19,1012.66,3,22.5,31.5,3139,1032.214125072894,1032,2019-09-27T00:10:06.487186,E4:49:12:58:E8:AF
13,-21,1012.61,3,22.5,31.5,3139,1036.2943597260385,1036,2019-09-27T00:15:08.028847,E4:49:12:58:E8:AF
13,-19,1012.66,3,22.5,31.5,3139,1035.2560069857118,1035,2019-09-27T00:20:07.552489,E4:49:12:58:E8:AF
11,-18,1012.63,3,22.5,31.5,3139,1036.2147460830695,1036,2019-09-27T00:25:07.085650,E4:49:12:58:E8:AF
7,-17,1012.58,3,22.5,31.5,3139,1038.1628003352846,1038,2019-09-27T00:30:06.494680,E4:49:12:58:E8:AF
7,-16,1012.53,3,22.49,31.5,3139,1033.1476177197526,1033,2019-09-27T00:35:06.844653,E4:49:12:58:E8:AF
9,-19,1012.51,3,22.49,31.5,3139,1036.2132985056696,1036,2019-09-27T00:40:07.236366,E4:49:12:58:E8:AF
10,-15,1012.5,3,22.49,31.0,3157,1034.1571447318827,1034,2019-09-27T00:45:06.724711,E4:49:12:58:E8:AF
10,-17,1012.46,3,22.49,31.0,3139,1037.1875433112375,1037,2019-09-27T00:50:07.196937,E4:49:12:58:E8:AF
12,-19,1012.46,3,22.49,31.0,3139,1037.243462259464,1037,2019-09-27T00:55:06.555258,E4:49:12:58:E8:AF
11,-19,1012.44,3,22.48,31.0,3139,1038.2321513033585,1038,2019-09-27T01:00:08.070352,E4:49:12:58:E8:AF
9,-15,1012.44,3,22.48,31.0,3139,1038.1473883798967,1038,2019-09-27T01:05:07.595195,E4:49:12:58:E8:AF
13,-16,1012.5,3,22.48,31.0,3139,1033.205691041237,1033,2019-09-27T01:10:06.980683,E4:49:12:58:E8:AF
14,-19,1012.49,3,22.47,31.0,3139,1033.2695679250405,1033,2019-09-27T01:15:06.451886,E4:49:12:58:E8:AF
7,-17,1012.48,3,22.47,31.0,3139,1036.1631145722183,1036,2019-09-27T01:20:07.909968,E4:49:12:58:E8:AF
14,-19,1012.45,3,22.46,31.0,3151,1033.2695679250405,1033,2019-09-27T01:25:06.274043,E4:49:12:58:E8:AF
11,-15,1012.44,3,22.46,31.0,3139,1035.1671362635118,1035,2019-09-27T01:30:06.733447,E4:49:12:58:E8:AF
9,-18,1012.42,3,22.46,31.0,3133,1039.1948806648347,1039,2019-09-27T01:35:06.251470,E4:49:12:58:E8:AF
7,-20,1012.38,3,22.45,31.0,3145,1035.2168854882536,1035,2019-09-27T01:40:06.770487,E4:49:12:58:E8:AF
11,-15,1012.38,3,22.44,31.0,3139,1039.166492916318,1039,2019-09-27T01:45:08.024560,E4:49:12:58:E8:AF
10,-22,1012.38,3,22.44,31.0,3133,1040.2807313413048,1040,2019-09-27T01:50:07.535728,E4:49:12:58:E8:AF
13,-19,1012.37,3,22.44,31.0,3151,1036.255759935741,1036,2019-09-27T01:55:06.942372,E4:49:12:58:E8:AF
12,-16,1012.35,3,22.43,30.5,3133,1038.1926603477796,1038,2019-09-27T02:00:07.352014,E4:49:12:58:E8:AF
11,-19,1012.36,3,22.43,30.5,3133,1036.232599371396,1036,2019-09-27T02:05:06.863693,E4:49:12:58:E8:AF
9,-19,1012.36,3,22.42,30.5,3139,1033.2139178311527,1033,2019-09-27T02:10:06.227010,E4:49:12:58:E8:AF
10,-17,1012.33,3,22.42,30.5,3145,1037.1875433112375,1037,2019-09-27T02:15:07.684492,E4:49:12:58:E8:AF
11,-20,1012.28,3,22.41,30.5,3139,1036.2514173693564,1036,2019-09-27T02:20:07.018654,E4:49:12:58:E8:AF
11,-18,1012.23,3,22.41,30.5,3139,1032.2155782587279,1032,2019-09-27T02:25:06.531594,E4:49:12:58:E8:AF
10,-18,1012.2,3,22.41,30.5,3139,1039.204022317081,1039,2019-09-27T02:30:06.931723,E4:49:12:58:E8:AF
7,-16,1012.24,3,22.4,30.5,3139,1037.1470483976705,1037,2019-09-27T02:35:06.359528,E4:49:12:58:E8:AF
13,-18,1012.2,3,22.4,30.5,3139,1036.2379070464465,1036,2019-09-27T02:40:06.872783,E4:49:12:58:E8:AF
12,-23,1012.15,3,22.4,30.5,3139,1041.323196706959,1041,2019-09-27T02:45:07.259522,E4:49:12:58:E8:AF
12,-17,1012.09,3,22.4,30.5,3139,1032.209765503117,1032,2019-09-27T02:50:08.863872,E4:49:12:58:E8:AF
12,-13,1012.01,3,22.4,30.5,3139,1038.1507597646885,1038,2019-09-27T02:55:06.171682,E4:49:12:58:E8:AF
14,-16,1011.98,3,22.39,30.5,3133,1040.2172849938613,1040,2019-09-27T03:00:07.633375,E4:49:12:58:E8:AF
13,-18,1011.89,3,22.39,30.5,3139,1039.2372202726383,1039,2019-09-27T03:05:07.153467,E4:49:12:58:E8:AF
11,-17,1011.85,3,22.39,30.5,3145,1039.197286370591,1039,2019-09-27T03:10:06.407606,E4:49:12:58:E8:AF
7,-18,1011.79,3,22.39,30.5,3139,1040.1793114650955,1040,2019-09-27T03:15:06.995639,E4:49:12:58:E8:AF
12,-22,1011.79,3,22.38,30.5,3139,1037.3027523341486,1037,2019-09-27T03:20:06.378654,E4:49:12:58:E8:AF
16,-18,1011.79,3,22.38,30.5,3133,1039.2790770529348,1039,2019-09-27T03:25:07.960543,E4:49:12:58:E8:AF
9,-17,1011.79,3,22.38,30.5,3139,1035.1787285295231,1035,2019-09-27T03:30:06.286531,E4:49:12:58:E8:AF
8,-17,1011.81,3,22.38,30.5,3145,1037.1701885418806,1037,2019-09-27T03:35:06.730973,E4:49:12:58:E8:AF
7,-18,1011.69,3,22.37,30.5,3139,1038.1796568995176,1038,2019-09-27T03:40:05.997273,E4:49:12:58:E8:AF
11,-19,1011.75,3,22.37,30.5,3139,1039.231927915997,1039,2019-09-27T03:45:06.462666,E4:49:12:58:E8:AF
11,-17,1011.7,3,22.37,30.5,3139,1037.1976667925935,1037,2019-09-27T03:50:06.876544,E4:49:12:58:E8:AF
