pressure,humidity,acceleration,acceleration_z,battery,acceleration_y,acceleration_x,temperature,data_format,time,device_mac
1005.4,38.5,1039.2083525453402,1039,3139,-17,12,22.7,3,2019-09-28T00:00:06.447153,E4:49:12:58:E8:AF
1005.34,39.0,1035.248279399681,1035,3133,-17,15,22.7,3,2019-09-28T00:05:06.841539,E4:49:12:58:E8:AF
1005.33,39.0,1040.2081522464625,1040,3139,-17,12,22.7,3,2019-09-28T00:10:06.488251,E4:49:12:58:E8:AF
1005.29,39.0,1034.2093598493489,1034,3139,-17,12,22.69,3,2019-09-28T00:15:07.885732,E4:49:12:58:E8:AF
1005.22,39.0,1042.2729968679032,1042,3139,-20,13,22.69,3,2019-09-28T00:20:08.284062,E4:49:12:58:E8:AF
1005.16,39.0,1038.2408198486514,1038,3139,-20,10,22.69,3,2019-09-28T00:25:06.735608,E4:49:12:58:E8:AF
1005.12,39.0,1040.2369922282132,1040,3139,-18,13,22.69,3,2019-09-28T00:30:07.017388,E4:49:12:58:E8:AF
1005.08,39.0,1032.233016329162,1032,3133,-20,9,22.69,3,2019-09-28T00:35:07.518474,E4:49:12:58:E8:AF
1005.07,39.0,1032.209765503117,1032,3139,-17,12,22.69,3,2019-09-28T00:40:06.981497,E4:49:12:58:E8:AF
1005.04,39.0,1034.1634300244812,1034,3139,-13,13,22.69,3,2019-09-28T00:45:07.437443,E4:49:12:58:E8:AF
1004.99,39.0,1040.2369922282132,1040,3127,-18,13,22.69,3,2019-09-28T00:50:06.792757,E4:49:12:58:E8:AF
1004.9,39.0,1034.283326753361,1034,3139,-19,15,22.68,3,2019-09-28T00:55:07.237526,E4:49:12:58:E8:AF
1004.89,39.0,1041.188263475919,1041,3133,-14,14,22.69,3,2019-09-28T01:00:06.603976,E4:49:12:58:E8:AF
1004.81,39.0,1034.2441684631342,1034,3133,-19,12,22.68,3,2019-09-28T01:05:07.116883,E4:49:12:58:E8:AF
1004.71,39.5,1041.2698977690654,1041,3133,-21,11,22.68,3,2019-09-28T01:10:06.620136,E4:49:12:58:E8:AF
1004.75,39.5,1030.204348660983,1030,3121,-15,14,22.68,3,2019-09-28T01:15:08.001100,E4:49:12:58:E8:AF
1004.78,39.5,1033.2332747255093,1033,3133,-19,11,22.68,3,2019-09-28T01:20:08.402756,E4:49:12:58:E8:AF
1004.8,39.5,1037.251174981258,1037,3139,-20,11,22.67,3,2019-09-28T01:25:06.862817,E4:49:12:58:E8:AF
1004.79,39.5,1037.3567370967423,1037,3133,-22,16,22.67,3,2019-09-28T01:30:06.339711,E4:49:12:58:E8:AF
1004.72,39.5,1033.2656967111604,1033,3133,-18,15,22.67,3,2019-09-28T01:35:07.878237,E4:49:12:58:E8:AF
1004.69,39.5,1036.255759935741,1036,3133,-19,13,22.67,3,2019-09-28T01:40:08.314990,E4:49:12:58:E8:AF
1004.69,39.5,1035.1879056480518,1035,3139,-17,10,22.67,3,2019-09-28T01:45:07.622195,E4:49:12:58:E8:AF
1004.62,39.5,1039.1924749535092,1039,3133,-16,12,22.67,3,2019-09-28T01:50:07.073760,E4:49:12:58:E8:AF
1004.59,39.5,1033.1824621043468,1033,3133,-16,11,22.67,3,2019-09-28T01:55:06.516167,E4:49:12:58:E8:AF
1004.53,39.5,1041.1772183446965,1041,3133,-15,12,22.67,3,2019-09-28T02:00:06.991019,E4:49:12:58:E8:AF
1004.5,39.5,1037.1716347837516,1037,3133,-16,10,22.66,3,2019-09-28T02:05:06.454762,E4:49:12:58:E8:AF
1004.46,39.5,1036.2147460830695,1036,3127,-18,11,22.67,3,2019-09-28T02:10:06.802250,E4:49:12:58:E8:AF
1004.34,39.5,1033.163104257987,1033,3139,-16,9,22.67,3,2019-09-28T02:15:06.335291,E4:49:12:58:E8:AF
1004.31,39.5,1038.1666532883821,1038,3133,-15,11,22.66,3,2019-09-28T02:20:09.798271,E4:49:12:58:E8:AF
1004.35,39.5,1036.2031654072478,1036,3133,-15,14,22.66,3,2019-09-28T02:25:06.099283,E4:49:12:58:E8:AF
1004.31,39.5,1038.293792719575,1038,3133,-21,13,22.66,3,2019-09-28T02:30:07.604386,E4:49:12:58:E8:AF
1004.24,39.5,1042.2120705499433,1042,3139,-19,9,22.65,3,2019-09-28T02:35:07.003619,E4:49:12:58:E8:AF
1004.25,39.5,1035.24393260719,1035,3133,-19,12,22.65,3,2019-09-28T02:40:07.461851,E4:49:12:58:E8:AF
1004.14,39.5,1040.197096708119,1040,3133,-17,11,22.65,3,2019-09-28T02:45:06.944441,E4:49:12:58:E8:AF
1004.11,40.0,1036.2147460830695,1036,3133,-18,11,22.65,3,2019-09-28T02:50:07.334310,E4:49:12:58:E8:AF
1004.04,40.0,1034.2383671088594,1034,3133,-18,13,22.65,3,2019-09-28T02:55:08.870847,E4:49:12:58:E8:AF
1004.01,40.0,1036.2132985056696,1036,3127,-19,9,22.65,3,2019-09-28T03:00:06.301572,E4:49:12:58:E8:AF
1003.88,40.0,1038.250933060019,1038,3133,-20,11,22.65,3,2019-09-28T03:05:06.780749,E4:49:12:58:E8:AF
1003.76,40.0,1037.301306275086,1037,3133,-20,15,22.64,3,2019-09-28T03:10:06.227449,E4:49:12:58:E8:AF
