acceleration,humidity,acceleration_x,pressure,acceleration_y,acceleration_z,temperature,data_format,battery,time,device_mac
1038.5788366802012,45.5,29,984.67,-19,1038,22.52,3,3127,2019-09-30T00:00:06.316707,E4:49:12:58:E8:AF
1039.5720273266302,45.5,30,984.62,-17,1039,22.52,3,3121,2019-09-30T00:05:07.750820,E4:49:12:58:E8:AF
1035.6770732231162,45.5,31,984.54,-21,1035,22.52,3,3121,2019-09-30T00:10:07.282973,E4:49:12:58:E8:AF
1036.6069650547406,45.5,27,984.52,-23,1036,22.52,3,3121,2019-09-30T00:15:07.818071,E4:49:12:58:E8:AF
1038.5860580616322,45.5,31,984.48,-16,1038,22.51,3,3121,2019-09-30T00:20:06.229302,E4:49:12:58:E8:AF
1036.5191749311732,45.5,26,984.44,-20,1036,22.51,3,3121,2019-09-30T00:25:06.673683,E4:49:12:58:E8:AF
1035.5452669970541,45.5,27,984.33,-20,1035,22.51,3,3127,2019-09-30T00:30:11.148443,E4:49:12:58:E8:AF
1031.6409259039697,45.5,31,984.25,-19,1031,22.51,3,3121,2019-09-30T00:35:06.621299,E4:49:12:58:E8:AF
1037.626618779607,45.5,30,984.17,-20,1037,22.5,3,3127,2019-09-30T00:40:07.118485,E4:49:12:58:E8:AF
1034.55352688974,45.5,28,984.16,-19,1034,22.5,3,3121,2019-09-30T00:45:08.532623,E4:49:12:58:E8:AF
1035.6036886763197,45.5,31,984.12,-17,1035,22.5,3,3121,2019-09-30T00:50:06.943836,E4:49:12:58:E8:AF
1039.5628889105267,45.5,27,984.1,-21,1039,22.5,3,3133,2019-09-30T00:55:08.610038,E4:49:12:58:E8:AF
1036.544740954292,45.5,27,984.08,-20,1036,22.5,3,3127,2019-09-30T01:00:06.938089,E4:49:12:58:E8:AF
1030.5377237151486,45.5,28,984.05,-18,1030,22.49,3,3115,2019-09-30T01:05:06.314912,E4:49:12:58:E8:AF
1035.5626489981182,45.5,29,984.08,-18,1035,22.49,3,3115,2019-09-30T01:10:06.718578,E4:49:12:58:E8:AF
1034.7603587304648,45.5,33,984.03,-22,1034,22.49,3,3121,2019-09-30T01:15:07.173475,E4:49:12:58:E8:AF
1037.6372198413085,45.5,31,984.0,-19,1037,22.49,3,3127,2019-09-30T01:20:06.648461,E4:49:12:58:E8:AF
1037.6372198413085,45.5,31,983.94,-19,1037,22.49,3,3121,2019-09-30T01:25:07.119440,E4:49:12:58:E8:AF
1036.6378345401058,45.5,31,983.94,-19,1036,22.49,3,3133,2019-09-30T01:30:06.535742,E4:49:12:58:E8:AF
1035.6036886763197,45.5,31,983.88,-17,1035,22.48,3,3127,2019-09-30T01:35:06.940657,E4:49:12:58:E8:AF
1038.6019449240407,45.5,31,983.86,-17,1038,22.48,3,3133,2019-09-30T01:40:06.446888,E4:49:12:58:E8:AF
1031.6501344932788,45.5,30,983.84,-21,1031,22.48,3,3127,2019-09-30T01:45:06.916113,E4:49:12:58:E8:AF
1038.4993981702637,45.5,26,983.79,-19,1038,22.48,3,3121,2019-09-30T01:50:06.352617,E4:49:12:58:E8:AF
1036.627223258197,45.5,30,983.73,-20,1036,22.48,3,3121,2019-09-30T01:55:06.797825,E4:49:12:58:E8:AF
1032.6107688766372,45.5,30,983.68,-19,1032,22.47,3,3127,2019-09-30T02:00:06.309994,E4:49:12:58:E8:AF
1039.5373971146973,45.5,26,983.67,-21,1039,22.47,3,3127,2019-09-30T02:05:06.726277,E4:49:12:58:E8:AF
1034.6347181493572,45.5,32,983.66,-17,1034,22.46,3,3121,2019-09-30T02:10:08.180348,E4:49:12:58:E8:AF
1043.6565527030432,45.5,29,983.6,-23,1043,22.46,3,3121,2019-09-30T02:15:08.635740,E4:49:12:58:E8:AF
1040.6060734014577,45.0,30,983.59,-19,1040,22.46,3,3133,2019-09-30T02:20:06.052192,E4:49:12:58:E8:AF
1032.7303617111293,45.0,32,983.6,-22,1032,22.46,3,3115,2019-09-30T02:25:06.640499,E4:49:12:58:E8:AF
1041.6472531524287,45.5,32,983.59,-18,1041,22.45,3,3121,2019-09-30T02:30:08.057242,E4:49:12:58:E8:AF
1034.6849762125669,45.0,29,983.55,-24,1034,22.45,3,3121,2019-09-30T02:35:07.510141,E4:49:12:58:E8:AF
1037.6025250547534,45.5,31,983.52,-17,1037,22.45,3,3121,2019-09-30T02:40:07.883757,E4:49:12:58:E8:AF
1042.5492794108104,45.5,28,983.49,-19,1042,22.45,3,3121,2019-09-30T02:45:06.235809,E4:49:12:58:E8:AF
1040.616163626147,45.5,29,983.53,-21,1040,22.45,3,3121,2019-09-30T02:50:06.666421,E4:49:12:58:E8:AF
1035.6398988065303,45.5,29,983.5,-22,1035,22.45,3,3121,2019-09-30T02:55:07.124962,E4:49:12:58:E8:AF
1035.6205868946406,45.5,31,983.45,-18,1035,22.44,3,3115,2019-09-30T03:00:06.535683,E4:49:12:58:E8:AF
1036.5577649123081,45.0,30,983.42,-16,1036,22.44,3,3121,2019-09-30T03:05:08.082208,E4:49:12:58:E8:AF
1039.6316655431383,45.0,32,983.42,-17,1039,22.44,3,3121,2019-09-30T03:10:06.429041,E4:49:12:58:E8:AF
1040.5777241513485,45.5,29,983.39,-19,1040,22.44,3,3127,2019-09-30T03:15:08.903788,E4:49:12:58:E8:AF
1036.6566451820004,45.0,31,983.37,-20,1036,22.44,3,3121,2019-09-30T03:20:07.333015,E4:49:12:58:E8:AF
1038.4488432272435,45.0,26,983.33,-16,1038,22.44,3,3121,2019-09-30T03:25:06.882597,E4:49:12:58:E8:AF
1038.6072404908411,45.0,30,983.29,-19,1038,22.43,3,3133,2019-09-30T03:30:06.451996,E4:49:12:58:E8:AF
1038.5566907973778,45.0,30,983.22,-16,1038,22.43,3,3121,2019-09-30T03:35:06.851469,E4:49:12:58:E8:AF
1037.4169846305776,45.0,24,983.16,-17,1037,22.43,3,3115,2019-09-30T03:40:06.294905,E4:49:12:58:E8:AF
1038.58942802245,45.0,30,983.11,-18,1038,22.43,3,3121,2019-09-30T03:45:06.679574,E4:49:12:58:E8:AF
1040.5882951484703,45.0,30,983.07,-18,1040,22.43,3,3115,2019-09-30T03:50:06.107553,E4:49:12:58:E8:AF
1037.6078257222234,45.0,30,983.06,-19,1037,22.43,3,3121,2019-09-30T03:55:06.588726,E4:49:12:58:E8:AF
1039.5888610407483,45.0,30,983.0,-18,1039,22.43,3,3127,2019-09-30T04:00:06.931502,E4:49:12:58:E8:AF
1033.751420797089,45.0,32,982.96,-23,1033,22.42,3,3115,2019-09-30T04:05:06.375895,E4:49:12:58:E8:AF
1035.6278289038007,45.0,30,982.94,-20,1035,22.42,3,3115,2019-09-30T04:10:06.763426,E4:49:12:58:E8:AF
1035.4873248862102,45.0,28,982.88,-15,1035,22.42,3,3127,2019-09-30T04:15:06.140070,E4:49:12:58:E8:AF
1038.6260154646618,45.0,30,982.83,-20,1038,22.42,3,3115,2019-09-30T04:20:06.562269,E4:49:12:58:E8:AF
1038.7790910487176,45.0,33,982.83,-23,1038,22.42,3,3127,2019-09-30T04:25:09.000216,E4:49:12:58:E8:AF
1034.5462773602735,45.0,29,982.8,-17,1034,22.42,3,3127,2019-09-30T04:30:06.422882,E4:49:12:58:E8:AF
1041.5618080555757,45.0,27,982.72,-21,1041,22.42,3,3121,2019-09-30T04:35:06.830431,E4:49:12:58:E8:AF
1032.5928529677126,45.0,30,982.7,-18,1032,22.42,3,3121,2019-09-30T04:40:06.230978,E4:49:12:58:E8:AF
1037.6328830564305,45.0,32,982.71,-17,1037,22.41,3,3121,2019-09-30T04:45:06.679742,E4:49:12:58:E8:AF
1033.5308413395317,45.0,29,982.71,-16,1033,22.41,3,3121,2019-09-30T04:50:07.159955,E4:49:12:58:E8:AF
1039.7163074608382,45.0,33,982.68,-20,1039,22.41,3,3121,2019-09-30T04:55:07.561983,E4:49:12:58:E8:AF
1039.506613735574,45.0,27,982.68,-18,1039,22.41,3,3121,2019-09-30T05:00:07.037832,E4:49:12:58:E8:AF
1035.6205868946406,45.0,31,982.7,-18,1035,22.41,3,3121,2019-09-30T05:05:06.483067,E4:49:12:58:E8:AF
1036.646998741616,45.0,30,982.71,-21,1036,22.41,3,3127,2019-09-30T05:10:06.978760,E4:49:12:58:E8:AF
1034.6622637363364,45.0,29,982.71,-23,1034,22.41,3,3121,2019-09-30T05:15:06.449354,E4:49:12:58:E8:AF
1034.6516321931745,45.0,32,982.72,-18,1034,22.41,3,3127,2019-09-30T05:20:06.927461,E4:49:12:58:E8:AF
1034.6695124531311,45.0,32,982.71,-19,1034,22.4,3,3127,2019-09-30T05:25:06.398680,E4:49:12:58:E8:AF
1039.6254133100056,45.0,30,982.71,-20,1039,22.4,3,3121,2019-09-30T05:30:06.947951,E4:49:12:58:E8:AF
1034.6579144818832,45.0,31,982.68,-20,1034,22.4,3,3121,2019-09-30T05:35:07.391979,E4:49:12:58:E8:AF
1033.641136952279,45.0,29,982.7,-22,1033,22.4,3,3121,2019-09-30T05:40:07.766011,E4:49:12:58:E8:AF
1031.5648307304782,45.0,29,982.68,-18,1031,22.4,3,3133,2019-09-30T05:45:07.223254,E4:49:12:58:E8:AF
1033.641136952279,44.5,29,982.66,-22,1033,22.4,3,3121,2019-09-30T05:50:07.735252,E4:49:12:58:E8:AF
1039.6484982916102,44.5,32,982.63,-18,1039,22.4,3,3121,2019-09-30T05:55:08.066352,E4:49:12:58:E8:AF
