acceleration,pressure,acceleration_x,data_format,humidity,temperature,battery,acceleration_z,acceleration_y,time,device_mac
1037.5485530807703,984.86,33,3,37.0,22.44,3115,1037,-7,2019-10-01T00:00:07.133682,E4:49:12:58:E8:AF
1033.5613189356498,984.81,34,3,36.5,22.42,3121,1033,-2,2019-10-01T00:05:06.569882,E4:49:12:58:E8:AF
1034.5308115276218,984.86,33,3,36.5,22.41,3121,1034,-3,2019-10-01T00:10:07.125242,E4:49:12:58:E8:AF
1034.6656464771602,984.9,36,3,36.5,22.4,3115,1034,-9,2019-10-01T00:15:06.581610,E4:49:12:58:E8:AF
1034.488279295614,984.99,31,3,36.5,22.39,3115,1034,-7,2019-10-01T00:20:07.041598,E4:49:12:58:E8:AF
1038.6361249253755,984.99,36,3,36.5,22.38,3115,1038,-5,2019-10-01T00:25:06.480772,E4:49:12:58:E8:AF
1035.6036886763197,985.0,35,3,36.0,22.37,3115,1035,-5,2019-10-01T00:30:07.058004,E4:49:12:58:E8:AF
1035.6398988065303,985.0,35,3,36.0,22.36,3121,1035,-10,2019-10-01T00:35:06.386868,E4:49:12:58:E8:AF
1036.53750535135,985.04,33,3,36.0,22.35,3115,1036,-5,2019-10-01T00:40:06.796290,E4:49:12:58:E8:AF
1034.6854594513252,985.09,37,3,36.0,22.34,3115,1034,-7,2019-10-01T00:45:07.284661,E4:49:12:58:E8:AF
1036.6392815246777,985.09,35,3,36.0,22.33,3115,1036,-10,2019-10-01T00:50:06.741445,E4:49:12:58:E8:AF
1033.7161118992003,985.01,38,3,36.0,22.32,3121,1033,-6,2019-10-01T00:55:07.128003,E4:49:12:58:E8:AF
1034.5999226754273,985.01,35,3,36.0,22.31,3115,1034,-4,2019-10-01T01:00:06.661557,E4:49:12:58:E8:AF
1034.6158707462398,985.02,35,3,36.0,22.31,3115,1034,-7,2019-10-01T01:05:07.098015,E4:49:12:58:E8:AF
1036.5177277789319,984.97,32,3,36.0,22.3,3115,1036,-7,2019-10-01T01:10:06.487665,E4:49:12:58:E8:AF
1039.6470554952773,984.91,36,3,35.5,22.29,3115,1039,-7,2019-10-01T01:15:06.982595,E4:49:12:58:E8:AF
1036.5814005663037,984.94,34,3,35.5,22.28,3115,1036,-7,2019-10-01T01:20:07.371023,E4:49:12:58:E8:AF
1034.5965397197112,984.92,35,3,35.5,22.27,3115,1034,-3,2019-10-01T01:25:06.769859,E4:49:12:58:E8:AF
1034.6158707462398,984.97,35,3,35.5,22.26,3115,1034,-7,2019-10-01T01:30:07.259086,E4:49:12:58:E8:AF
1034.5433775342626,984.94,32,3,35.5,22.25,3115,1034,-10,2019-10-01T01:35:06.730082,E4:49:12:58:E8:AF
1033.67451356798,984.92,37,3,35.5,22.25,3115,1033,-5,2019-10-01T01:40:06.024577,E4:49:12:58:E8:AF
1032.5676733270318,984.91,34,3,35.5,22.24,3115,1032,-4,2019-10-01T01:45:06.533901,E4:49:12:58:E8:AF
1033.6861225729986,984.88,37,3,35.5,22.24,3115,1033,-7,2019-10-01T01:50:06.959795,E4:49:12:58:E8:AF
1031.5454425278608,984.94,33,3,35.5,22.23,3115,1031,-6,2019-10-01T01:55:06.329473,E4:49:12:58:E8:AF
1032.680492698492,984.99,37,3,35.5,22.23,3121,1032,-6,2019-10-01T02:00:08.633866,E4:49:12:58:E8:AF
1034.6158707462398,984.99,35,3,35.5,22.21,3127,1034,-7,2019-10-01T02:05:07.028469,E4:49:12:58:E8:AF
1034.6656464771602,985.01,36,3,35.5,22.2,3121,1034,-9,2019-10-01T02:10:06.513060,E4:49:12:58:E8:AF
1035.5660287977778,984.9,34,3,35.5,22.2,3115,1035,-4,2019-10-01T02:15:07.017153,E4:49:12:58:E8:AF
1031.535748289898,984.91,33,3,35.5,22.19,3121,1031,-4,2019-10-01T02:20:06.500391,E4:49:12:58:E8:AF
1032.5449142773402,984.87,33,3,35.5,22.19,3109,1032,-6,2019-10-01T02:25:06.900767,E4:49:12:58:E8:AF
1031.4780656902017,984.87,31,3,35.5,22.19,3115,1031,-5,2019-10-01T02:30:08.401614,E4:49:12:58:E8:AF
1033.504233179526,984.74,31,3,35.0,22.18,3115,1033,-9,2019-10-01T02:35:07.796490,E4:49:12:58:E8:AF
1035.721004904313,984.72,38,3,35.0,22.17,3115,1035,-7,2019-10-01T02:40:07.288602,E4:49:12:58:E8:AF
1032.5395876187993,984.7,33,3,35.0,22.17,3121,1032,-5,2019-10-01T02:45:06.728087,E4:49:12:58:E8:AF
1031.6593430003918,984.74,36,3,35.0,22.16,3115,1031,-8,2019-10-01T02:50:06.173184,E4:49:12:58:E8:AF
1033.539065541308,984.64,33,3,35.0,22.16,3109,1033,-5,2019-10-01T02:55:06.589916,E4:49:12:58:E8:AF
1032.6587045098686,984.71,36,3,35.0,22.15,3115,1032,-8,2019-10-01T03:00:07.040906,E4:49:12:58:E8:AF
1030.5207421493271,984.72,32,3,35.0,22.14,3121,1030,-7,2019-10-01T03:05:06.532542,E4:49:12:58:E8:AF
1037.4940963687457,984.79,31,3,35.0,22.13,3115,1037,-8,2019-10-01T03:10:07.942809,E4:49:12:58:E8:AF
1034.5849409304196,984.78,33,3,35.0,22.13,3109,1034,-11,2019-10-01T03:15:06.424527,E4:49:12:58:E8:AF
1034.6095882022357,984.82,35,3,35.0,22.12,3103,1034,-6,2019-10-01T03:20:08.947156,E4:49:12:58:E8:AF
1039.389243738841,984.75,28,3,35.0,22.12,3115,1039,-5,2019-10-01T03:25:06.367903,E4:49:12:58:E8:AF
1038.6361249253755,984.6,36,3,35.0,22.11,3115,1038,-5,2019-10-01T03:30:06.773794,E4:49:12:58:E8:AF
1033.5637377539906,984.62,34,3,35.0,22.11,3115,1033,-3,2019-10-01T03:35:06.230943,E4:49:12:58:E8:AF
1032.5197334675981,984.64,32,3,35.0,22.11,3121,1032,-7,2019-10-01T03:40:08.531635,E4:49:12:58:E8:AF
1031.4470417815933,984.52,29,3,35.0,22.1,3121,1031,-9,2019-10-01T03:45:06.937796,E4:49:12:58:E8:AF
1032.5773578768808,984.41,34,3,35.0,22.1,3115,1032,-6,2019-10-01T03:50:06.431074,E4:49:12:58:E8:AF
1036.53750535135,984.38,33,3,35.0,22.1,3121,1036,-5,2019-10-01T03:55:06.803442,E4:49:12:58:E8:AF
1031.6404412390975,984.33,36,3,34.5,22.09,3115,1031,-5,2019-10-01T04:00:07.134579,E4:49:12:58:E8:AF
1030.6366964163462,984.31,36,3,34.5,22.09,3115,1030,-4,2019-10-01T04:05:06.567710,E4:49:12:58:E8:AF
1037.6834777522479,984.25,37,3,35.0,22.09,3127,1037,-7,2019-10-01T04:10:07.087882,E4:49:12:58:E8:AF
1034.6501824288246,984.23,36,3,35.0,22.08,3127,1034,-7,2019-10-01T04:15:07.511191,E4:49:12:58:E8:AF
1032.5909160940746,984.2,34,3,34.5,22.08,3121,1032,-8,2019-10-01T04:20:06.989660,E4:49:12:58:E8:AF
1034.4766792924818,984.11,31,3,34.5,22.07,3115,1034,-5,2019-10-01T04:25:08.364466,E4:49:12:58:E8:AF
1032.5081113482838,984.09,32,3,34.5,22.07,3115,1032,-5,2019-10-01T04:30:07.928611,E4:49:12:58:E8:AF
1034.6042721736655,984.08,35,3,34.5,22.06,3121,1034,-5,2019-10-01T04:35:06.376407,E4:49:12:58:E8:AF
1034.5071290232852,984.01,32,3,35.0,22.06,3121,1034,-5,2019-10-01T04:40:06.778516,E4:49:12:58:E8:AF
1032.5395876187993,983.89,33,3,35.0,22.06,3115,1032,-5,2019-10-01T04:45:07.161826,E4:49:12:58:E8:AF
1036.5698239867877,983.88,34,3,35.0,22.05,3121,1036,-5,2019-10-01T04:50:06.551597,E4:49:12:58:E8:AF
1042.6025129453699,983.94,34,3,35.0,22.04,3115,1042,-10,2019-10-01T04:55:07.990654,E4:49:12:58:E8:AF
1034.6439000931673,984.03,36,3,34.5,22.04,3115,1034,-6,2019-10-01T05:00:06.501550,E4:49:12:58:E8:AF
1036.6219175765098,984.03,35,3,34.5,22.03,3115,1036,-8,2019-10-01T05:05:07.028156,E4:49:12:58:E8:AF
1033.4887517530126,983.89,31,3,35.0,22.03,3109,1033,-7,2019-10-01T05:10:06.503669,E4:49:12:58:E8:AF
1035.6225181020352,983.94,35,3,34.5,22.02,3115,1035,-8,2019-10-01T05:15:07.080714,E4:49:12:58:E8:AF
1030.5454866234677,983.92,32,3,34.5,22.02,3121,1030,-10,2019-10-01T05:20:07.597655,E4:49:12:58:E8:AF
1039.4436011636226,983.91,29,3,34.5,22.01,3115,1039,-9,2019-10-01T05:25:07.083173,E4:49:12:58:E8:AF
1036.5490822918132,983.92,33,3,34.5,22.01,3115,1036,-7,2019-10-01T05:30:06.564830,E4:49:12:58:E8:AF
1039.6470554952773,983.9,36,3,34.5,22.01,3115,1039,-7,2019-10-01T05:35:07.125489,E4:49:12:58:E8:AF
1032.6083478260284,983.86,34,3,34.5,22.0,3115,1032,-10,2019-10-01T05:40:06.516357,E4:49:12:58:E8:AF
1035.4738045938198,983.8,30,3,34.5,22.0,3109,1035,-9,2019-10-01T05:45:06.944513,E4:49:12:58:E8:AF
1032.6107688766372,983.74,35,3,34.5,22.0,3121,1032,-6,2019-10-01T05:50:07.327150,E4:49:12:58:E8:AF
1032.5269972257383,983.64,32,3,34.5,22.0,3115,1032,-8,2019-10-01T05:55:06.753918,E4:49:12:58:E8:AF
1032.5720313857043,983.67,34,3,34.5,22.0,3115,1032,-5,2019-10-01T06:00:07.182887,E4:49:12:58:E8:AF
1033.6392020429566,983.72,36,3,34.5,22.0,3109,1033,-5,2019-10-01T06:05:06.596424,E4:49:12:58:E8:AF
1032.6514416781686,983.7,36,3,34.0,22.0,3115,1032,-7,2019-10-01T06:10:06.138231,E4:49:12:58:E8:AF
1033.6445230348777,983.64,36,3,34.0,22.0,3115,1033,-6,2019-10-01T06:15:06.593919,E4:49:12:58:E8:AF
1038.6361249253755,983.63,36,3,34.5,22.0,3121,1038,-5,2019-10-01T06:20:08.017342,E4:49:12:58:E8:AF
1036.6330112436126,983.55,36,3,34.5,22.0,3121,1036,-4,2019-10-01T06:25:06.566646,E4:49:12:58:E8:AF
1039.6042516265504,983.43,34,3,34.5,21.99,3109,1039,-10,2019-10-01T06:30:06.983157,E4:49:12:58:E8:AF
1035.665003753627,983.51,36,3,34.5,21.98,3121,1035,-9,2019-10-01T06:35:06.412004,E4:49:12:58:E8:AF
1036.5654827361366,983.63,34,3,34.5,21.98,3121,1036,-4,2019-10-01T06:40:06.889148,E4:49:12:58:E8:AF
1031.5449578181262,983.74,32,3,34.5,21.97,3121,1031,-10,2019-10-01T06:45:06.419735,E4:49:12:58:E8:AF
1037.5485530807703,983.75,33,3,34.5,21.96,3115,1037,-7,2019-10-01T06:50:06.860726,E4:49:12:58:E8:AF
1036.5061504882642,983.83,32,3,34.5,21.96,3115,1036,-5,2019-10-01T06:55:06.322811,E4:49:12:58:E8:AF
1032.5318397027763,983.83,33,3,34.5,21.96,3127,1032,-3,2019-10-01T07:00:07.731656,E4:49:12:58:E8:AF
1034.640517281244,983.84,35,3,34.0,21.95,3115,1034,-10,2019-10-01T07:05:07.206904,E4:49:12:58:E8:AF
1037.511445719998,983.78,31,3,34.0,21.94,3109,1037,-10,2019-10-01T07:10:06.634212,E4:49:12:58:E8:AF
1035.5819619904548,983.79,34,3,34.0,21.94,3115,1035,-7,2019-10-01T07:15:07.052838,E4:49:12:58:E8:AF
1034.5656093259624,983.77,33,3,34.0,21.93,3115,1034,-9,2019-10-01T07:20:06.588343,E4:49:12:58:E8:AF
1036.556317813943,983.84,33,3,34.0,21.93,3115,1036,-8,2019-10-01T07:25:06.982365,E4:49:12:58:E8:AF
1033.5129413800294,983.83,32,3,34.0,21.93,3115,1033,-6,2019-10-01T07:30:06.370247,E4:49:12:58:E8:AF
1033.5129413800294,983.85,32,3,34.0,21.93,3115,1033,-6,2019-10-01T07:35:06.846516,E4:49:12:58:E8:AF
1033.610177968464,983.85,35,3,34.0,21.93,3121,1033,-6,2019-10-01T07:40:06.187245,E4:49:12:58:E8:AF
1038.568726661842,983.89,34,3,34.0,21.92,3115,1038,-5,2019-10-01T07:45:09.666079,E4:49:12:58:E8:AF
1034.5979895592297,984.02,34,3,33.5,21.92,3109,1034,-9,2019-10-01T07:50:06.081766,E4:49:12:58:E8:AF
1027.5319946356901,983.97,33,3,33.5,21.92,3115,1027,-2,2019-10-01T07:55:06.520577,E4:49:12:58:E8:AF
1034.5187286849862,984.0,32,3,33.5,21.92,3115,1034,-7,2019-10-01T08:00:07.003775,E4:49:12:58:E8:AF
1039.5547123648664,983.97,33,3,33.5,21.92,3115,1039,-8,2019-10-01T08:05:06.413982,E4:49:12:58:E8:AF
1035.5568550301814,984.06,33,3,33.0,21.92,3115,1035,-8,2019-10-01T08:10:06.870372,E4:49:12:58:E8:AF
1037.636737977217,984.08,36,3,33.0,21.92,3121,1037,-5,2019-10-01T08:15:08.305731,E4:49:12:58:E8:AF
1031.7611157627525,984.09,39,3,33.0,21.92,3121,1031,-7,2019-10-01T08:20:07.758817,E4:49:12:58:E8:AF
1038.563430898662,984.14,33,3,33.0,21.93,3115,1038,-9,2019-10-01T08:25:06.088091,E4:49:12:58:E8:AF
1038.3684317235382,984.12,27,3,32.5,21.93,3115,1038,-6,2019-10-01T08:30:06.616552,E4:49:12:58:E8:AF
1036.5490822918132,984.17,33,3,32.5,21.94,3109,1036,-7,2019-10-01T08:35:07.023588,E4:49:12:58:E8:AF
1036.4516390068568,984.18,30,3,32.5,21.95,3115,1036,-6,2019-10-01T08:40:06.369209,E4:49:12:58:E8:AF
1034.6439000931673,984.18,36,3,32.5,21.95,3115,1034,-6,2019-10-01T08:45:06.830853,E4:49:12:58:E8:AF
1035.736452964749,984.12,38,3,32.5,21.96,3115,1035,-9,2019-10-01T08:50:06.292134,E4:49:12:58:E8:AF
1037.6140901125043,984.16,35,3,32.5,21.97,3121,1037,-7,2019-10-01T08:55:06.681022,E4:49:12:58:E8:AF
1037.8294657601507,984.18,40,3,32.5,21.98,3115,1037,-11,2019-10-01T09:00:07.141597,E4:49:12:58:E8:AF
1037.6078257222234,984.2,35,3,32.0,21.99,3115,1037,-6,2019-10-01T09:05:08.637289,E4:49:12:58:E8:AF
1033.67451356798,984.24,37,3,31.5,22.0,3115,1033,-5,2019-10-01T09:10:07.106988,E4:49:12:58:E8:AF
1039.6066563850002,984.29,35,3,32.0,22.02,3115,1039,-6,2019-10-01T09:15:07.490735,E4:49:12:58:E8:AF
1036.6031063044331,984.25,35,3,32.0,22.02,3115,1036,-5,2019-10-01T09:20:07.876199,E4:49:12:58:E8:AF
1035.5433356455924,984.22,33,3,32.0,22.03,3109,1035,-6,2019-10-01T09:25:06.387869,E4:49:12:58:E8:AF
1035.5433356455924,984.25,33,3,32.0,22.05,3115,1035,-6,2019-10-01T09:30:08.969039,E4:49:12:58:E8:AF
1038.523952540335,984.24,32,3,32.0,22.07,3109,1038,-8,2019-10-01T09:35:06.348721,E4:49:12:58:E8:AF
1034.607171828999,984.29,34,3,32.0,22.08,3115,1034,-10,2019-10-01T09:40:06.791710,E4:49:12:58:E8:AF
1034.550143782311,984.33,33,3,32.0,22.09,3115,1034,-7,2019-10-01T09:45:07.288867,E4:49:12:58:E8:AF
1034.7057552753827,984.41,38,3,32.0,22.11,3109,1034,-4,2019-10-01T09:50:06.751036,E4:49:12:58:E8:AF
1032.5449142773402,984.33,33,3,32.0,22.12,3115,1032,-6,2019-10-01T09:55:06.139890,E4:49:12:58:E8:AF
1032.5081113482838,984.33,32,3,32.0,22.13,3115,1032,-5,2019-10-01T10:00:06.604221,E4:49:12:58:E8:AF
1036.7203094374104,984.41,38,3,31.5,22.15,3115,1036,-7,2019-10-01T10:05:07.104729,E4:49:12:58:E8:AF
1035.4182729699144,984.4,29,3,31.5,22.16,3115,1035,-5,2019-10-01T10:10:06.484931,E4:49:12:58:E8:AF
1035.5568550301814,984.38,33,3,31.5,22.18,3115,1035,-8,2019-10-01T10:15:07.087012,E4:49:12:58:E8:AF
1034.5438608391623,984.44,33,3,31.0,22.19,3115,1034,-6,2019-10-01T10:20:06.523308,E4:49:12:58:E8:AF
1034.5665759147644,984.4,34,3,31.0,22.2,3121,1034,-4,2019-10-01T10:25:06.998221,E4:49:12:58:E8:AF
1038.4507691749282,984.35,30,3,31.0,22.22,3115,1038,-6,2019-10-01T10:30:06.450326,E4:49:12:58:E8:AF
