temperature,pressure,humidity,acceleration_x,acceleration,acceleration_z,data_format,battery,acceleration_y,time,device_mac
22.13,984.9,32.5,31,1036.4757594849964,1036,3,3115,-5,2019-10-02T00:00:07.144101,E4:49:12:58:E8:AF
22.13,985.01,32.5,35,1035.5993433756125,1035,3,3103,-4,2019-10-02T00:05:06.606441,E4:49:12:58:E8:AF
22.13,985.08,32.5,35,1028.6034221214704,1028,3,3121,-4,2019-10-02T00:10:07.054982,E4:49:12:58:E8:AF
22.12,985.17,32.5,35,1032.6170635816552,1032,3,3115,-7,2019-10-02T00:15:06.473234,E4:49:12:58:E8:AF
22.13,985.24,32.5,33,1034.550143782311,1034,3,3115,-7,2019-10-02T00:20:06.923639,E4:49:12:58:E8:AF
22.12,985.34,32.5,28,1033.3798914242525,1033,3,3109,-1,2019-10-02T00:25:06.430708,E4:49:12:58:E8:AF
22.12,985.39,32.5,36,1035.6379676315464,1035,3,3115,-5,2019-10-02T00:30:06.853657,E4:49:12:58:E8:AF
22.12,985.47,32.5,34,1038.568726661842,1038,3,3109,-5,2019-10-02T00:35:06.254896,E4:49:12:58:E8:AF
22.11,985.54,32.5,31,1035.476218944694,1035,3,3109,-5,2019-10-02T00:40:06.840903,E4:49:12:58:E8:AF
22.11,985.59,32.5,32,1031.5086039389105,1031,3,3103,-5,2019-10-02T00:45:07.225336,E4:49:12:58:E8:AF
22.11,985.59,32.0,35,1033.6164665870992,1033,3,3127,-7,2019-10-02T00:50:06.768230,E4:49:12:58:E8:AF
22.11,985.59,32.0,39,1033.748035064638,1033,3,3121,-5,2019-10-02T00:55:06.274450,E4:49:12:58:E8:AF
22.11,985.63,32.0,31,1033.4727862890247,1033,3,3121,-4,2019-10-02T01:00:06.701381,E4:49:12:58:E8:AF
22.1,985.68,32.0,32,1029.5285328731788,1029,3,3109,-8,2019-10-02T01:05:08.138127,E4:49:12:58:E8:AF
22.1,985.71,32.0,30,1032.448061647655,1032,3,3109,-5,2019-10-02T01:10:08.454566,E4:49:12:58:E8:AF
22.1,985.71,32.0,31,1033.4693996437436,1033,3,3115,-3,2019-10-02T01:15:06.925251,E4:49:12:58:E8:AF
22.1,985.8,32.0,35,1032.6010846401432,1032,3,3115,-4,2019-10-02T01:20:07.373966,E4:49:12:58:E8:AF
22.09,985.82,32.0,36,1033.6275925109585,1033,3,3115,-1,2019-10-02T01:25:06.801737,E4:49:12:58:E8:AF
22.09,985.82,32.0,35,1030.6022511133963,1030,3,3115,-4,2019-10-02T01:30:07.151904,E4:49:12:58:E8:AF
22.08,985.83,32.0,34,1035.5756853074527,1035,3,3121,-6,2019-10-02T01:35:06.604848,E4:49:12:58:E8:AF
22.08,985.81,32.0,34,1033.571477934642,1033,3,3121,-5,2019-10-02T01:40:06.978585,E4:49:12:58:E8:AF
22.08,985.8,31.5,30,1036.4463324263345,1036,3,3109,-5,2019-10-02T01:45:06.461432,E4:49:12:58:E8:AF
22.08,985.85,31.5,36,1034.6439000931673,1034,3,3115,-6,2019-10-02T01:50:06.860438,E4:49:12:58:E8:AF
22.08,985.91,31.5,33,1036.5297873192067,1036,3,3115,-3,2019-10-02T01:55:06.271020,E4:49:12:58:E8:AF
22.07,985.97,31.5,29,1033.4089219665175,1033,3,3115,-2,2019-10-02T02:00:07.764505,E4:49:12:58:E8:AF
22.07,986.08,31.5,33,1037.5369872925014,1037,3,3115,-5,2019-10-02T02:05:06.977982,E4:49:12:58:E8:AF
22.07,986.19,31.5,33,1031.528477551638,1031,3,3115,-1,2019-10-02T02:10:06.433412,E4:49:12:58:E8:AF
22.07,986.2,32.0,33,1041.5402056569876,1041,3,3115,-6,2019-10-02T02:15:06.916315,E4:49:12:58:E8:AF
22.06,986.17,32.0,33,1034.5385444728486,1034,3,3115,-5,2019-10-02T02:20:06.309668,E4:49:12:58:E8:AF
22.06,986.2,32.0,33,1032.5512093838252,1032,3,3109,-7,2019-10-02T02:25:06.813070,E4:49:12:58:E8:AF
22.06,986.22,32.0,38,1027.7202926866823,1027,3,3121,-6,2019-10-02T02:30:06.158335,E4:49:12:58:E8:AF
22.06,986.28,32.0,32,1033.503265597163,1033,3,3115,-4,2019-10-02T02:35:06.587008,E4:49:12:58:E8:AF
22.06,986.42,32.0,33,1029.5367890464138,1029,3,3115,-4,2019-10-02T02:40:06.993882,E4:49:12:58:E8:AF
22.06,986.54,32.0,28,1031.411169223991,1031,3,3115,-8,2019-10-02T02:45:06.311537,E4:49:12:58:E8:AF
22.06,986.5,32.0,28,1034.3867748574514,1034,3,3121,-4,2019-10-02T02:50:07.740285,E4:49:12:58:E8:AF
22.06,986.52,32.0,35,1034.5965397197112,1034,3,3109,-3,2019-10-02T02:55:07.278881,E4:49:12:58:E8:AF
22.05,986.58,31.5,32,1038.4974723127639,1038,3,3109,-3,2019-10-02T03:00:07.551592,E4:49:12:58:E8:AF
22.05,986.59,32.0,34,1033.571477934642,1033,3,3109,-5,2019-10-02T03:05:06.960490,E4:49:12:58:E8:AF
22.04,986.61,32.0,34,1030.561497437198,1030,3,3115,1,2019-10-02T03:10:06.411753,E4:49:12:58:E8:AF
22.04,986.68,32.0,32,1032.5197334675981,1032,3,3103,-7,2019-10-02T03:15:06.840221,E4:49:12:58:E8:AF
22.04,986.73,32.0,32,1036.4984322226446,1036,3,3109,-3,2019-10-02T03:20:06.251507,E4:49:12:58:E8:AF
22.04,986.83,31.5,33,1031.5323552850875,1031,3,3109,-3,2019-10-02T03:25:06.743116,E4:49:12:58:E8:AF
22.04,986.93,31.5,34,1031.5842185687022,1031,3,3115,-7,2019-10-02T03:30:07.111361,E4:49:12:58:E8:AF
22.04,986.95,31.5,32,1037.5109637974917,1037,3,3109,-6,2019-10-02T03:35:06.773949,E4:49:12:58:E8:AF
22.04,987.05,32.0,34,1032.5642837131256,1032,3,3109,-3,2019-10-02T03:40:07.089264,E4:49:12:58:E8:AF
22.03,987.09,31.5,34,1033.571477934642,1033,3,3115,-5,2019-10-02T03:45:06.519485,E4:49:12:58:E8:AF
22.03,987.13,32.0,35,1031.6016673115646,1031,3,3109,-4,2019-10-02T03:50:06.987393,E4:49:12:58:E8:AF
22.04,987.18,32.0,36,1033.6580672543507,1033,3,3109,-8,2019-10-02T03:55:07.403511,E4:49:12:58:E8:AF
22.03,987.23,32.0,34,1029.5693274374485,1029,3,3115,-4,2019-10-02T04:00:08.849857,E4:49:12:58:E8:AF
22.03,987.31,32.0,34,1034.5631928500065,1034,3,3109,-3,2019-10-02T04:05:07.172780,E4:49:12:58:E8:AF
22.04,987.36,32.0,30,1032.4403130447783,1032,3,3115,-3,2019-10-02T04:10:07.652548,E4:49:12:58:E8:AF
22.03,987.38,32.0,34,1034.5825244996167,1034,3,3121,-7,2019-10-02T04:15:07.101189,E4:49:12:58:E8:AF
22.03,987.43,32.0,34,1038.5643937667032,1038,3,3115,-4,2019-10-02T04:20:07.362543,E4:49:12:58:E8:AF
22.03,987.48,32.0,33,1030.5328718677536,1030,3,3115,-3,2019-10-02T04:25:08.887497,E4:49:12:58:E8:AF
22.03,987.53,32.0,37,1035.6688659991667,1035,3,3109,-4,2019-10-02T04:30:07.303071,E4:49:12:58:E8:AF
22.03,987.72,32.0,36,1031.6404412390975,1031,3,3109,-5,2019-10-02T04:35:07.710591,E4:49:12:58:E8:AF
22.02,987.8,32.0,35,1034.6042721736655,1034,3,3103,-5,2019-10-02T04:40:08.144946,E4:49:12:58:E8:AF
22.02,987.88,31.5,34,1033.5830880969368,1033,3,3103,-7,2019-10-02T04:45:07.445942,E4:49:12:58:E8:AF
22.02,988.04,31.5,33,1034.534194698271,1034,3,3109,-4,2019-10-02T04:50:06.925460,E4:49:12:58:E8:AF
22.02,988.05,31.5,33,1028.537310942097,1028,3,3115,-4,2019-10-02T04:55:07.350905,E4:49:12:58:E8:AF
22.01,988.09,31.5,37,1035.6732110081828,1035,3,3115,-5,2019-10-02T05:00:06.863111,E4:49:12:58:E8:AF
22.01,988.17,31.5,36,1035.6302428956003,1035,3,3115,-3,2019-10-02T05:05:07.320353,E4:49:12:58:E8:AF
22.01,988.22,31.5,35,1037.6025250547534,1037,3,3115,-5,2019-10-02T05:10:06.743900,E4:49:12:58:E8:AF
22.01,988.3,31.5,34,1030.561497437198,1030,3,3109,-1,2019-10-02T05:15:07.310899,E4:49:12:58:E8:AF
22.01,988.42,31.5,32,1034.5124455510431,1034,3,3121,-6,2019-10-02T05:20:07.718696,E4:49:12:58:E8:AF
22.01,988.53,31.5,30,1032.4403130447783,1032,3,3109,-3,2019-10-02T05:25:06.120935,E4:49:12:58:E8:AF
22.01,988.61,31.5,32,1030.5047307023874,1030,3,3109,-4,2019-10-02T05:30:06.557782,E4:49:12:58:E8:AF
22.01,988.66,31.5,34,1030.584785449504,1030,3,3115,-7,2019-10-02T05:35:07.003278,E4:49:12:58:E8:AF
22.01,988.71,31.5,35,1036.5915299673252,1036,3,3109,-1,2019-10-02T05:40:06.380262,E4:49:12:58:E8:AF
22.0,988.79,31.0,36,1036.648928036874,1036,3,3115,-7,2019-10-02T05:45:06.827292,E4:49:12:58:E8:AF
22.0,988.89,31.0,32,1036.5018089709251,1036,3,3109,-4,2019-10-02T05:50:06.301609,E4:49:12:58:E8:AF
21.99,988.99,31.0,33,1029.5367890464138,1029,3,3115,-4,2019-10-02T05:55:07.715699,E4:49:12:58:E8:AF
21.99,989.04,31.0,34,1034.576241753115,1034,3,3103,-6,2019-10-02T06:00:06.182836,E4:49:12:58:E8:AF
21.99,989.07,31.0,32,1034.4955292315187,1034,3,3121,1,2019-10-02T06:05:06.589028,E4:49:12:58:E8:AF
22.0,989.11,31.0,36,1032.6451471827097,1032,3,3103,-6,2019-10-02T06:10:08.005522,E4:49:12:58:E8:AF
22.01,989.18,31.5,33,1034.5438608391623,1034,3,3115,-6,2019-10-02T06:15:06.503367,E4:49:12:58:E8:AF
22.02,989.32,31.5,33,1033.5506760677001,1033,3,3115,-7,2019-10-02T06:20:08.917135,E4:49:12:58:E8:AF
22.02,989.41,31.5,30,1034.4370449669714,1034,3,3121,-2,2019-10-02T06:25:06.341713,E4:49:12:58:E8:AF
22.02,989.47,32.0,32,1035.5254704738072,1035,3,3115,-8,2019-10-02T06:30:06.732108,E4:49:12:58:E8:AF
