acceleration_y,acceleration,data_format,acceleration_x,battery,acceleration_z,temperature,pressure,humidity,time,device_mac
-7,1034.6854594513252,3,37,3109,1034,21.97,1004.13,35.5,2019-10-03T00:00:06.845769,E4:49:12:58:E8:AF
-4,1031.535748289898,3,33,3109,1031,21.97,1004.15,35.5,2019-10-03T00:05:06.391427,E4:49:12:58:E8:AF
-6,1035.4520751826228,3,30,3103,1035,21.96,1004.19,35.5,2019-10-03T00:10:06.794546,E4:49:12:58:E8:AF
-8,1037.5880685512916,3,34,3109,1037,21.96,1004.16,35.5,2019-10-03T00:15:07.226581,E4:49:12:58:E8:AF
-8,1034.5897737750938,3,34,3109,1034,21.96,1004.2,35.5,2019-10-03T00:20:06.780907,E4:49:12:58:E8:AF
-3,1032.6674198404828,3,37,3115,1032,21.96,1004.21,35.5,2019-10-03T00:25:06.246396,E4:49:12:58:E8:AF
-4,1034.4428452070226,3,30,3103,1034,21.96,1004.22,35.0,2019-10-03T00:30:06.635035,E4:49:12:58:E8:AF
-5,1036.53750535135,3,33,3109,1036,21.95,1004.24,35.0,2019-10-03T00:35:08.156027,E4:49:12:58:E8:AF
-4,1031.535748289898,3,33,3103,1031,21.95,1004.27,35.0,2019-10-03T00:40:06.576356,E4:49:12:58:E8:AF
-5,1035.3907474958428,3,28,3103,1035,21.95,1004.27,35.0,2019-10-03T00:45:06.958435,E4:49:12:58:E8:AF
-4,1033.567124090158,3,34,3103,1033,21.95,1004.27,35.0,2019-10-03T00:50:06.382233,E4:49:12:58:E8:AF
-3,1036.4984322226446,3,32,3103,1036,21.94,1004.28,35.0,2019-10-03T00:55:07.782456,E4:49:12:58:E8:AF
-3,1031.5008482788562,3,32,3103,1031,21.94,1004.31,35.0,2019-10-03T01:00:06.248803,E4:49:12:58:E8:AF
-5,1028.6423090656926,3,36,3103,1028,21.94,1004.3,35.0,2019-10-03T01:05:06.792197,E4:49:12:58:E8:AF
-6,1036.4231761206424,3,29,3103,1036,21.93,1004.24,35.0,2019-10-03T01:10:06.259627,E4:49:12:58:E8:AF
-5,1031.572585909494,3,34,3115,1031,21.93,1004.27,35.0,2019-10-03T01:15:06.664018,E4:49:12:58:E8:AF
-4,1032.5352294231902,3,33,3109,1032,21.92,1004.33,34.5,2019-10-03T01:20:07.186100,E4:49:12:58:E8:AF
-7,1033.4887517530126,3,31,3109,1033,21.93,1004.34,34.5,2019-10-03T01:25:06.624080,E4:49:12:58:E8:AF
-2,1029.6314874750092,3,36,3115,1029,21.92,1004.38,34.5,2019-10-03T01:30:07.133688,E4:49:12:58:E8:AF
-6,1034.576241753115,3,34,3103,1034,21.92,1004.43,34.5,2019-10-03T01:35:07.554085,E4:49:12:58:E8:AF
-6,1033.3968260063507,3,28,3109,1033,21.91,1004.42,34.5,2019-10-03T01:40:07.012338,E4:49:12:58:E8:AF
-5,1032.4776026626437,3,31,3103,1032,21.91,1004.46,34.5,2019-10-03T01:45:07.470125,E4:49:12:58:E8:AF
-4,1030.708494192223,3,38,3103,1030,21.91,1004.47,34.5,2019-10-03T01:50:07.013441,E4:49:12:58:E8:AF
