acceleration_x,acceleration_z,acceleration_y,acceleration,battery,data_format,humidity,temperature,pressure,time,device_mac
30,1036,-5,1036.4463324263345,3103,3,31.5,21.81,1009.41,2019-10-04T00:00:06.579071,E4:49:12:58:E8:AF
30,1036,-2,1036.4362016062541,3103,3,31.5,21.8,1009.4,2019-10-04T00:05:07.987130,E4:49:12:58:E8:AF
32,1037,-7,1037.5172287726118,3115,3,31.5,21.79,1009.42,2019-10-04T00:10:06.473536,E4:49:12:58:E8:AF
30,1034,-2,1034.4370449669714,3091,3,31.5,21.79,1009.42,2019-10-04T00:15:06.937842,E4:49:12:58:E8:AF
30,1033,-5,1033.447628087655,3097,3,31.5,21.79,1009.42,2019-10-04T00:20:08.270647,E4:49:12:58:E8:AF
31,1035,-1,1035.4646300091567,3097,3,31.5,21.79,1009.45,2019-10-04T00:25:06.788906,E4:49:12:58:E8:AF
34,1035,-3,1035.5626489981182,3097,3,31.5,21.79,1009.52,2019-10-04T00:30:07.284272,E4:49:12:58:E8:AF
28,1034,-1,1034.3795241592904,3097,3,31.5,21.78,1009.62,2019-10-04T00:35:06.669157,E4:49:12:58:E8:AF
32,1034,-5,1034.5071290232852,3097,3,31.5,21.78,1009.64,2019-10-04T00:40:07.251398,E4:49:12:58:E8:AF
29,1035,-6,1035.4235848192757,3103,3,31.5,21.78,1009.64,2019-10-04T00:45:06.667608,E4:49:12:58:E8:AF
35,1036,-7,1036.614682512263,3097,3,31.5,21.78,1009.65,2019-10-04T00:50:07.044890,E4:49:12:58:E8:AF
37,1035,-1,1035.6616242769644,3115,3,31.5,21.77,1009.67,2019-10-04T00:55:06.363075,E4:49:12:58:E8:AF
28,1032,-2,1032.381712352558,3097,3,31.5,21.77,1009.73,2019-10-04T01:00:09.846190,E4:49:12:58:E8:AF
33,1038,-7,1038.5480248885942,3103,3,31.5,21.77,1009.74,2019-10-04T01:05:07.384063,E4:49:12:58:E8:AF
29,1039,-4,1039.4123339656885,3097,3,31.5,21.76,1009.77,2019-10-04T01:10:06.839414,E4:49:12:58:E8:AF
