data_format,temperature,acceleration,acceleration_x,pressure,acceleration_z,acceleration_y,humidity,battery,time,device_mac
3,21.92,1036.5987651931678,35,1013.69,1036,-4,28.0,3097,2019-10-05T00:00:07.097002,E4:49:12:58:E8:AF
3,21.92,1035.5496125246727,33,1013.7,1035,-7,28.0,3097,2019-10-05T00:05:06.558418,E4:49:12:58:E8:AF
3,21.91,1031.5008482788562,32,1013.73,1031,-3,28.0,3091,2019-10-05T00:10:06.984619,E4:49:12:58:E8:AF
3,21.91,1031.551743733682,33,1013.7,1031,-7,28.0,3103,2019-10-05T00:15:06.433154,E4:49:12:58:E8:AF
3,21.91,1034.4689458847956,31,1013.66,1034,-3,28.0,3091,2019-10-05T00:20:06.932884,E4:49:12:58:E8:AF
3,21.91,1033.403115923307,28,1013.67,1033,-7,28.0,3091,2019-10-05T00:25:08.463949,E4:49:12:58:E8:AF
3,21.91,1035.3564603555628,27,1013.67,1035,-3,28.0,3091,2019-10-05T00:30:07.832215,E4:49:12:58:E8:AF
3,21.91,1036.4656289525476,31,1013.7,1036,-2,28.0,3103,2019-10-05T00:35:06.336081,E4:49:12:58:E8:AF
3,21.9,1029.358538119736,27,1013.74,1029,-3,28.0,3097,2019-10-05T00:40:06.825690,E4:49:12:58:E8:AF
3,21.9,1032.4698542814701,31,1013.74,1032,-3,28.0,3097,2019-10-05T00:45:06.168476,E4:49:12:58:E8:AF
3,21.9,1037.497951805207,32,1013.76,1037,-3,28.0,3103,2019-10-05T00:50:06.532616,E4:49:12:58:E8:AF
3,21.9,1033.4955249056475,32,1013.85,1033,0,28.0,3103,2019-10-05T00:55:08.087096,E4:49:12:58:E8:AF
3,21.89,1032.3294047928694,26,1013.92,1032,-2,28.0,3097,2019-10-05T01:00:06.492550,E4:49:12:58:E8:AF
3,21.89,1032.4437030656925,30,1014.05,1032,-4,28.0,3097,2019-10-05T01:05:06.920471,E4:49:12:58:E8:AF
3,21.88,1033.3571502631605,27,1014.12,1033,-3,28.0,3091,2019-10-05T01:10:06.454727,E4:49:12:58:E8:AF
3,21.88,1035.4878077505307,31,1014.13,1035,-7,28.0,3091,2019-10-05T01:15:06.895928,E4:49:12:58:E8:AF
3,21.88,1035.434691325339,30,1014.06,1035,0,28.0,3097,2019-10-05T01:20:06.373426,E4:49:12:58:E8:AF
3,21.88,1035.4878077505307,31,1014.03,1035,-7,28.0,3097,2019-10-05T01:25:06.907720,E4:49:12:58:E8:AF
3,21.87,1029.474623290929,31,1014.1,1029,-4,28.0,3097,2019-10-05T01:30:06.296860,E4:49:12:58:E8:AF
3,21.87,1035.4989135677545,32,1014.05,1035,-3,28.0,3097,2019-10-05T01:35:06.766410,E4:49:12:58:E8:AF
3,21.87,1033.5129413800294,32,1014.1,1033,-6,28.0,3097,2019-10-05T01:40:07.212559,E4:49:12:58:E8:AF
3,21.87,1036.4945730682819,32,1014.13,1036,-1,27.5,3097,2019-10-05T01:45:06.651242,E4:49:12:58:E8:AF
3,21.87,1036.4062909882398,29,1014.18,1036,1,27.5,3097,2019-10-05T01:50:08.032031,E4:49:12:58:E8:AF
3,21.87,1034.4819959767303,31,1014.2,1034,-6,27.5,3103,2019-10-05T01:55:06.559925,E4:49:12:58:E8:AF
3,21.87,1031.4703098005293,31,1014.18,1031,-3,27.5,3091,2019-10-05T02:00:07.028862,E4:49:12:58:E8:AF
3,21.86,1029.4391677024923,30,1014.18,1029,-2,27.5,3097,2019-10-05T02:05:06.493410,E4:49:12:58:E8:AF
3,21.86,1027.4682476845696,31,1014.2,1027,-1,27.5,3103,2019-10-05T02:10:06.865478,E4:49:12:58:E8:AF
3,21.86,1032.4194883863827,29,1014.25,1032,-5,27.5,3097,2019-10-05T02:15:07.332000,E4:49:12:58:E8:AF
3,21.86,1027.4697075826616,31,1014.27,1027,-2,27.5,3091,2019-10-05T02:20:07.910389,E4:49:12:58:E8:AF
3,21.86,1035.5302989290076,33,1014.23,1035,-3,27.5,3103,2019-10-05T02:25:06.268509,E4:49:12:58:E8:AF
3,21.85,1035.4366228794497,30,1014.28,1035,-2,27.5,3097,2019-10-05T02:30:06.671270,E4:49:12:58:E8:AF
3,21.85,1036.4960202528516,32,1014.43,1036,-2,27.5,3097,2019-10-05T02:35:07.114595,E4:49:12:58:E8:AF
3,21.85,1029.4974502153952,32,1014.4,1029,0,27.5,3103,2019-10-05T02:40:06.540165,E4:49:12:58:E8:AF
3,21.85,1030.496967487047,32,1014.42,1030,0,27.5,3103,2019-10-05T02:45:07.087703,E4:49:12:58:E8:AF
3,21.85,1035.476218944694,31,1014.35,1035,-5,27.5,3097,2019-10-05T02:50:06.552603,E4:49:12:58:E8:AF
3,21.85,1034.4955292315187,32,1014.35,1034,-1,27.5,3097,2019-10-05T02:55:06.966438,E4:49:12:58:E8:AF
3,21.84,1034.4525122015027,30,1014.47,1034,-6,27.5,3097,2019-10-05T03:00:06.480797,E4:49:12:58:E8:AF
3,21.85,1034.40659317311,29,1014.43,1034,0,27.5,3097,2019-10-05T03:05:06.872474,E4:49:12:58:E8:AF
3,21.84,1033.4669806046054,31,1014.43,1033,-2,27.5,3097,2019-10-05T03:10:06.227807,E4:49:12:58:E8:AF
3,21.84,1033.4089219665175,29,1014.42,1033,2,27.5,3097,2019-10-05T03:15:07.719998,E4:49:12:58:E8:AF
3,21.84,1033.4355325805282,30,1014.43,1033,0,27.5,3097,2019-10-05T03:20:07.039179,E4:49:12:58:E8:AF
3,21.84,1036.4362016062541,30,1014.46,1036,-2,27.5,3091,2019-10-05T03:25:08.468858,E4:49:12:58:E8:AF
3,21.84,1029.4493673804457,30,1014.52,1029,-5,27.5,3103,2019-10-05T03:30:06.872550,E4:49:12:58:E8:AF
3,21.84,1033.4655291784047,31,1014.57,1033,-1,27.5,3103,2019-10-05T03:35:06.306295,E4:49:12:58:E8:AF
3,21.84,1033.4655291784047,31,1014.61,1033,-1,27.5,3097,2019-10-05T03:40:07.775174,E4:49:12:58:E8:AF
3,21.83,1034.447195365718,30,1014.71,1034,-5,27.5,3097,2019-10-05T03:45:06.219722,E4:49:12:58:E8:AF
3,21.83,1035.408132090916,29,1014.74,1035,-2,27.5,3097,2019-10-05T03:50:06.613401,E4:49:12:58:E8:AF
3,21.83,1035.5278847042218,33,1014.77,1035,-2,27.5,3097,2019-10-05T03:55:06.982066,E4:49:12:58:E8:AF
3,21.83,1035.5022935754416,32,1014.82,1035,-4,27.5,3097,2019-10-05T04:00:07.418980,E4:49:12:58:E8:AF
3,21.83,1032.358464875452,26,1014.91,1032,-8,27.5,3097,2019-10-05T04:05:07.868461,E4:49:12:58:E8:AF
3,21.83,1030.4683401250134,31,1014.94,1030,-2,27.5,3097,2019-10-05T04:10:08.432015,E4:49:12:58:E8:AF
3,21.83,1037.417466596741,29,1014.94,1037,-5,27.5,3091,2019-10-05T04:15:06.796737,E4:49:12:58:E8:AF
3,21.82,1034.4186773255788,29,1014.97,1034,-5,27.5,3097,2019-10-05T04:20:07.311237,E4:49:12:58:E8:AF
3,21.83,1035.4660786331922,31,1014.98,1035,-2,27.5,3103,2019-10-05T04:25:09.826311,E4:49:12:58:E8:AF
3,21.82,1034.534194698271,33,1015.08,1034,-4,27.5,3097,2019-10-05T04:30:07.180514,E4:49:12:58:E8:AF
3,21.82,1038.3299090366222,26,1015.1,1038,-3,27.5,3091,2019-10-05T04:35:06.577106,E4:49:12:58:E8:AF
3,21.82,1034.5269450333326,33,1015.12,1034,-1,27.5,3103,2019-10-05T04:40:07.083306,E4:49:12:58:E8:AF
3,21.82,1033.353279377387,27,1015.32,1033,-1,27.5,3097,2019-10-05T04:45:06.459617,E4:49:12:58:E8:AF
3,21.82,1032.467432900428,31,1015.34,1032,-2,27.5,3091,2019-10-05T04:50:06.920924,E4:49:12:58:E8:AF
3,21.81,1038.4339170115738,30,1015.38,1038,-1,27.5,3103,2019-10-05T04:55:06.387249,E4:49:12:58:E8:AF
3,21.81,1036.468040993064,31,1015.41,1036,-3,27.5,3097,2019-10-05T05:00:06.726003,E4:49:12:58:E8:AF
3,21.81,1035.4684930020808,31,1015.44,1035,-3,27.5,3097,2019-10-05T05:05:07.142828,E4:49:12:58:E8:AF
3,21.79,1032.436438721532,30,1015.47,1032,-1,27.5,3103,2019-10-05T05:10:06.586617,E4:49:12:58:E8:AF
3,21.79,1031.4121387689793,29,1015.51,1031,-3,27.5,3097,2019-10-05T05:15:07.025764,E4:49:12:58:E8:AF
3,21.78,1035.476218944694,31,1015.56,1035,-5,27.5,3097,2019-10-05T05:20:06.481662,E4:49:12:58:E8:AF
3,21.78,1028.5961306557595,35,1015.5,1028,1,27.5,3097,2019-10-05T05:25:06.964158,E4:49:12:58:E8:AF
3,21.78,1037.4651801385914,31,1015.51,1037,-2,27.5,3097,2019-10-05T05:30:07.565959,E4:49:12:58:E8:AF
3,21.78,1033.4693996437436,31,1015.54,1033,-3,27.5,3097,2019-10-05T05:35:07.047533,E4:49:12:58:E8:AF
3,21.78,1035.434691325339,30,1015.53,1035,0,27.5,3097,2019-10-05T05:40:07.393046,E4:49:12:58:E8:AF
3,21.77,1036.4178693943868,29,1015.59,1036,-5,27.5,3091,2019-10-05T05:45:08.811380,E4:49:12:58:E8:AF
3,21.77,1030.5289903733908,33,1015.73,1030,-1,27.5,3097,2019-10-05T05:50:07.258894,E4:49:12:58:E8:AF
3,21.77,1035.4390373170213,30,1015.79,1035,-3,27.5,3103,2019-10-05T05:55:06.746125,E4:49:12:58:E8:AF
3,21.77,1037.330227073327,26,1015.79,1037,-3,27.5,3097,2019-10-05T06:00:07.306937,E4:49:12:58:E8:AF
3,21.77,1032.5352294231902,33,1015.8,1032,-4,27.5,3103,2019-10-05T06:05:06.637243,E4:49:12:58:E8:AF
3,21.76,1032.4979418865687,32,1015.79,1032,-2,27.5,3097,2019-10-05T06:10:07.118215,E4:49:12:58:E8:AF
3,21.76,1034.502779116615,32,1015.8,1034,-4,27.5,3103,2019-10-05T06:15:06.545720,E4:49:12:58:E8:AF
3,21.76,1034.5308115276218,33,1015.82,1034,-3,27.5,3103,2019-10-05T06:20:06.990576,E4:49:12:58:E8:AF
3,21.76,1030.4974526897192,32,1015.84,1030,-1,27.5,3091,2019-10-05T06:25:07.478980,E4:49:12:58:E8:AF
3,21.76,1031.4121387689793,29,1015.9,1031,-3,27.5,3103,2019-10-05T06:30:06.866867,E4:49:12:58:E8:AF
3,21.75,1035.471873109067,31,1015.94,1035,-4,27.5,3097,2019-10-05T06:35:06.371154,E4:49:12:58:E8:AF
3,21.76,1032.4194883863827,29,1015.97,1032,-5,27.5,3097,2019-10-05T06:40:06.765927,E4:49:12:58:E8:AF
3,21.75,1031.4703098005293,31,1015.98,1031,-3,27.5,3097,2019-10-05T06:45:06.230746,E4:49:12:58:E8:AF
3,21.75,1035.4660786331922,31,1015.99,1035,2,27.5,3091,2019-10-05T06:50:06.684877,E4:49:12:58:E8:AF
3,21.75,1039.4642851007436,31,1015.98,1039,-2,27.5,3091,2019-10-05T06:55:06.151642,E4:49:12:58:E8:AF
3,21.75,1030.496967487047,32,1015.98,1030,0,27.5,3097,2019-10-05T07:00:07.450131,E4:49:12:58:E8:AF
3,21.75,1032.5134381692085,32,1015.99,1032,-6,27.5,3103,2019-10-05T07:05:06.984611,E4:49:12:58:E8:AF
3,21.75,1036.4342719150115,30,1016.04,1036,0,27.5,3097,2019-10-05T07:10:07.331758,E4:49:12:58:E8:AF
3,21.75,1038.5051757213346,32,1016.13,1038,-5,27.5,3097,2019-10-05T07:15:06.793051,E4:49:12:58:E8:AF
3,21.75,1035.5302989290076,33,1016.17,1035,-3,28.0,3097,2019-10-05T07:20:06.201821,E4:49:12:58:E8:AF
3,21.75,1031.438316139167,30,1016.2,1031,-2,28.0,3097,2019-10-05T07:25:07.619904,E4:49:12:58:E8:AF
3,21.79,1035.4815304968022,31,1015.9,1035,-6,27.5,3097,2019-10-05T07:30:07.067690,E4:49:12:58:E8:AF
3,21.88,1035.5626489981182,34,1015.96,1035,-3,27.5,3115,2019-10-05T07:40:07.054542,E4:49:12:58:E8:AF
3,21.86,1033.4650453692182,31,1015.98,1033,0,27.5,3091,2019-10-05T07:45:08.375419,E4:49:12:58:E8:AF
3,21.87,1035.4139268910767,29,1016.03,1035,-4,27.5,3091,2019-10-05T07:50:06.938928,E4:49:12:58:E8:AF
3,21.93,1033.4974600839616,32,1016.07,1033,2,27.5,3097,2019-10-05T07:55:09.337298,E4:49:12:58:E8:AF
3,21.98,1031.4984246231304,32,1016.12,1031,-2,27.5,3097,2019-10-05T08:00:06.861962,E4:49:12:58:E8:AF
3,22.01,1035.5568550301814,33,1016.18,1035,-8,27.5,3097,2019-10-05T08:05:07.322089,E4:49:12:58:E8:AF
3,22.0,1033.4669806046054,31,1016.57,1033,-2,27.0,3097,2019-10-05T08:10:08.654023,E4:49:12:58:E8:AF
3,21.97,1029.4843369376729,31,1016.59,1029,-6,27.0,3091,2019-10-05T08:15:06.107938,E4:49:12:58:E8:AF
3,21.97,1035.464147134028,31,1016.63,1035,0,26.5,3097,2019-10-05T08:20:08.520596,E4:49:12:58:E8:AF
3,21.96,1026.5032878661423,32,1016.72,1026,-3,26.5,3091,2019-10-05T08:25:06.989309,E4:49:12:58:E8:AF
3,21.99,1032.4078651385798,29,1016.79,1032,-1,26.5,3097,2019-10-05T08:30:07.430277,E4:49:12:58:E8:AF
3,22.02,1031.3277849452131,26,1016.83,1031,0,26.5,3091,2019-10-05T08:35:06.792623,E4:49:12:58:E8:AF
3,22.06,1031.4969704269615,32,1016.89,1031,-1,26.5,3097,2019-10-05T08:40:07.166273,E4:49:12:58:E8:AF
3,22.1,1031.4664318338237,31,1016.95,1031,1,26.5,3091,2019-10-05T08:45:07.710448,E4:49:12:58:E8:AF
3,22.14,1039.4373477992795,30,1017.0,1039,-3,26.5,3097,2019-10-05T08:50:06.130700,E4:49:12:58:E8:AF
3,22.18,1033.5613189356498,34,1017.0,1033,2,26.5,3097,2019-10-05T08:55:07.498058,E4:49:12:58:E8:AF
3,22.23,1037.3784266120056,28,1017.04,1037,1,27.0,3097,2019-10-05T09:00:07.021202,E4:49:12:58:E8:AF
3,22.27,1033.4693996437436,31,1017.09,1033,3,27.0,3097,2019-10-05T09:05:06.460667,E4:49:12:58:E8:AF
3,22.31,1035.4964992697946,32,1017.08,1035,-2,27.5,3091,2019-10-05T09:10:07.897127,E4:49:12:58:E8:AF
3,22.36,1044.5290804951292,32,1017.12,1044,-9,27.5,3097,2019-10-05T09:15:08.378238,E4:49:12:58:E8:AF
3,22.4,1035.5626489981182,34,1017.12,1035,-3,28.0,3097,2019-10-05T09:20:07.789402,E4:49:12:58:E8:AF
3,22.42,1031.3806280903282,28,1017.06,1031,1,27.5,3103,2019-10-05T09:25:07.179209,E4:49:12:58:E8:AF
3,21.98,1033.4955249056475,32,1017.05,1033,0,26.5,3097,2019-10-05T09:30:06.672932,E4:49:12:58:E8:AF
3,21.65,1033.5289062237205,33,1017.05,1033,-2,25.5,3097,2019-10-05T09:35:07.031643,E4:49:12:58:E8:AF
3,21.45,1028.4716816714013,31,1017.05,1028,-3,25.0,3097,2019-10-05T09:40:06.516647,E4:49:12:58:E8:AF
3,21.29,1033.503265597163,32,1017.07,1033,-4,25.0,3103,2019-10-05T09:45:06.935004,E4:49:12:58:E8:AF
3,21.19,1033.4960087005659,32,1017.07,1033,-1,24.5,3097,2019-10-05T09:50:08.533305,E4:49:12:58:E8:AF
3,21.02,1033.4360164035313,30,1017.07,1033,-1,24.5,3097,2019-10-05T09:55:06.896416,E4:49:12:58:E8:AF
3,20.83,1032.595274054651,35,1017.09,1032,-2,24.0,3097,2019-10-05T10:00:06.343383,E4:49:12:58:E8:AF
3,20.76,1034.5593264767372,34,1017.19,1034,1,24.0,3091,2019-10-05T10:05:06.810188,E4:49:12:58:E8:AF
3,20.71,1034.4109434842615,29,1017.23,1034,-3,24.0,3103,2019-10-05T10:10:06.224315,E4:49:12:58:E8:AF
3,20.66,1033.4727862890247,31,1017.27,1033,-4,24.0,3091,2019-10-05T10:15:06.689677,E4:49:12:58:E8:AF
3,20.6,1029.3813676184352,28,1017.33,1029,-1,23.5,3091,2019-10-05T10:20:07.122101,E4:49:12:58:E8:AF
3,20.49,1037.4338533130679,30,1017.36,1037,0,23.5,3097,2019-10-05T10:25:06.599215,E4:49:12:58:E8:AF
3,20.47,1034.4186773255788,29,1017.35,1034,-5,23.5,3097,2019-10-05T10:30:07.093270,E4:49:12:58:E8:AF
3,20.48,1035.5278847042218,33,1017.35,1035,-2,23.0,3097,2019-10-05T10:35:06.523710,E4:49:12:58:E8:AF
3,20.47,1030.4159354357832,29,1017.35,1030,-4,23.0,3097,2019-10-05T10:40:07.998179,E4:49:12:58:E8:AF
3,20.46,1032.4659800690772,31,1017.31,1032,-1,23.0,3091,2019-10-05T10:45:06.478127,E4:49:12:58:E8:AF
3,20.44,1032.4093180517116,29,1017.36,1032,2,22.5,3091,2019-10-05T10:50:07.951019,E4:49:12:58:E8:AF
3,20.59,1036.4062909882398,29,1017.35,1036,-1,23.0,3091,2019-10-05T10:55:09.463405,E4:49:12:58:E8:AF
3,20.81,1032.496489098147,32,1017.37,1032,1,23.0,3097,2019-10-05T11:00:06.827279,E4:49:12:58:E8:AF
3,20.98,1032.4960048348855,32,1017.43,1032,0,23.5,3097,2019-10-05T11:05:07.264573,E4:49:12:58:E8:AF
3,21.15,1038.4411394007848,30,1017.44,1038,-4,23.5,3097,2019-10-05T11:10:06.718935,E4:49:12:58:E8:AF
3,21.34,1030.380512238076,28,1017.51,1030,0,23.5,3091,2019-10-05T11:15:08.120276,E4:49:12:58:E8:AF
3,21.49,1032.496489098147,32,1017.46,1032,1,23.5,3097,2019-10-05T11:20:07.514806,E4:49:12:58:E8:AF
3,21.64,1037.4357811450307,30,1017.49,1037,-2,23.5,3091,2019-10-05T11:25:07.037532,E4:49:12:58:E8:AF
3,21.77,1032.4776026626437,31,1017.54,1032,-5,24.0,3103,2019-10-05T11:30:07.469671,E4:49:12:58:E8:AF
3,21.91,1035.5119506794695,32,1017.51,1035,-6,24.0,3097,2019-10-05T11:35:07.978187,E4:49:12:58:E8:AF
3,22.01,1030.5047307023874,32,1017.51,1030,-4,24.0,3103,2019-10-05T11:40:06.326381,E4:49:12:58:E8:AF
3,22.1,1033.4360164035313,30,1017.51,1033,1,24.0,3097,2019-10-05T11:45:06.770086,E4:49:12:58:E8:AF
3,22.18,1033.5637377539906,34,1017.53,1033,-3,24.0,3097,2019-10-05T11:50:08.178242,E4:49:12:58:E8:AF
3,22.28,1035.4684930020808,31,1017.53,1035,-3,24.0,3091,2019-10-05T11:55:07.563003,E4:49:12:58:E8:AF
3,22.36,1032.4093180517116,29,1017.58,1032,-2,24.0,3103,2019-10-05T12:00:07.034783,E4:49:12:58:E8:AF
3,22.43,1031.357842846022,27,1017.58,1031,-3,24.0,3103,2019-10-05T12:05:07.474098,E4:49:12:58:E8:AF
3,22.51,1034.40659317311,29,1017.65,1034,0,24.0,3097,2019-10-05T12:10:06.895077,E4:49:12:58:E8:AF
3,22.57,1035.5336788342522,33,1017.61,1035,-4,24.0,3091,2019-10-05T12:15:06.360797,E4:49:12:58:E8:AF
3,22.66,1024.4696188760308,31,1017.68,1024,1,24.0,3103,2019-10-05T12:20:06.748417,E4:49:12:58:E8:AF
3,22.74,1035.5935496129744,35,1017.67,1035,-2,24.0,3097,2019-10-05T12:25:07.268787,E4:49:12:58:E8:AF
3,22.82,1031.5943970379055,35,1017.74,1031,-1,24.0,3097,2019-10-05T12:30:06.677545,E4:49:12:58:E8:AF
3,22.89,1037.4753009108217,31,1017.8,1037,-5,24.5,3091,2019-10-05T12:35:10.110906,E4:49:12:58:E8:AF
3,22.99,1035.5264361666486,33,1017.78,1035,1,25.0,3091,2019-10-05T12:40:07.567227,E4:49:12:58:E8:AF
3,23.0,1033.5593838769014,34,1017.82,1033,0,25.5,3091,2019-10-05T12:45:06.937102,E4:49:12:58:E8:AF
3,23.0,1031.4969704269615,32,1017.87,1031,1,26.0,3097,2019-10-05T12:50:06.550414,E4:49:12:58:E8:AF
3,23.0,1032.4378915944533,30,1017.91,1032,2,27.5,3097,2019-10-05T12:55:06.913172,E4:49:12:58:E8:AF
3,22.99,1030.5944886326533,35,1017.91,1030,0,28.5,3097,2019-10-05T13:00:06.322297,E4:49:12:58:E8:AF
3,22.94,1033.3571502631605,27,1018.03,1033,-3,29.0,3091,2019-10-05T13:05:08.845096,E4:49:12:58:E8:AF
3,22.95,1028.4677923979923,31,1018.14,1028,-1,29.0,3103,2019-10-05T13:10:11.265331,E4:49:12:58:E8:AF
3,22.94,1032.436438721532,30,1018.17,1032,-1,29.0,3097,2019-10-05T13:15:08.751099,E4:49:12:58:E8:AF
3,22.92,1034.502779116615,32,1018.16,1034,-4,29.0,3097,2019-10-05T13:20:10.173529,E4:49:12:58:E8:AF
3,22.93,1035.6258977063098,36,1018.19,1035,0,29.0,3091,2019-10-05T13:25:12.578068,E4:49:12:58:E8:AF
3,22.94,1035.446763479417,30,1018.21,1035,-5,29.0,3097,2019-10-05T13:30:08.051430,E4:49:12:58:E8:AF
3,22.95,1033.4693996437436,31,1018.24,1033,-3,29.0,3097,2019-10-05T13:35:06.474596,E4:49:12:58:E8:AF
3,22.94,1033.5347115602842,33,1018.27,1033,-4,29.0,3097,2019-10-05T13:40:06.862270,E4:49:12:58:E8:AF
3,22.93,1037.4955421590976,32,1018.28,1037,-2,29.0,3097,2019-10-05T13:45:06.355645,E4:49:12:58:E8:AF
3,22.93,1035.4989135677545,32,1018.32,1035,-3,28.5,3103,2019-10-05T13:50:06.794415,E4:49:12:58:E8:AF
3,22.93,1033.5598676419281,34,1018.3,1033,1,28.5,3103,2019-10-05T13:55:06.157524,E4:49:12:58:E8:AF
3,22.92,1038.4628062670324,31,1018.27,1038,0,28.5,3091,2019-10-05T14:00:06.562880,E4:49:12:58:E8:AF
3,22.85,1034.6985068124918,38,1018.26,1034,1,28.5,3097,2019-10-05T14:05:07.954223,E4:49:12:58:E8:AF
3,22.57,1031.4703098005293,31,1018.27,1031,-3,28.5,3097,2019-10-05T14:10:06.444426,E4:49:12:58:E8:AF
3,22.3,1034.4109434842615,29,1018.24,1034,-3,28.0,3097,2019-10-05T14:15:06.887939,E4:49:12:58:E8:AF
3,22.08,1026.341561079936,26,1018.24,1026,-5,28.0,3097,2019-10-05T14:20:08.291947,E4:49:12:58:E8:AF
3,21.82,1035.4684930020808,31,1018.27,1035,-3,28.0,3097,2019-10-05T14:25:07.781975,E4:49:12:58:E8:AF
3,21.56,1036.4960202528516,32,1018.43,1036,-2,28.0,3097,2019-10-05T14:30:06.194849,E4:49:12:58:E8:AF
3,21.66,1027.5027980497182,32,1018.49,1027,-3,28.5,3091,2019-10-05T14:35:06.680109,E4:49:12:58:E8:AF
3,21.77,1032.448061647655,30,1018.52,1032,-5,28.0,3103,2019-10-05T14:40:07.126688,E4:49:12:58:E8:AF
3,21.82,1033.5598676419281,34,1018.57,1033,-1,28.0,3091,2019-10-05T14:45:06.623816,E4:49:12:58:E8:AF
3,21.86,1031.4121387689793,29,1018.58,1031,-3,28.0,3097,2019-10-05T14:50:07.101416,E4:49:12:58:E8:AF
3,21.93,1039.4046372804,29,1018.62,1039,0,28.0,3097,2019-10-05T14:55:06.568152,E4:49:12:58:E8:AF
3,22.0,1032.467432900428,31,1018.65,1032,-2,28.5,3097,2019-10-05T15:00:07.012161,E4:49:12:58:E8:AF
3,22.07,1031.4969704269615,32,1018.74,1031,-1,29.0,3097,2019-10-05T15:05:08.454035,E4:49:12:58:E8:AF
3,22.06,1040.4662416436202,31,1018.77,1040,-3,29.0,3085,2019-10-05T15:10:07.045116,E4:49:12:58:E8:AF
3,22.06,1036.4636993160927,31,1018.76,1036,0,29.0,3103,2019-10-05T15:15:06.456110,E4:49:12:58:E8:AF
