temperature,pressure,data_format,acceleration_z,humidity,acceleration,battery,acceleration_x,acceleration_y,time,device_mac
20.4,1020.7,3,1034,26.5,1034.9434767174487,3085,-44,4,2019-10-06T00:00:06.969680,E4:49:12:58:E8:AF
20.49,1020.68,3,1036,26.0,1036.7342957575968,3085,-39,-1,2019-10-06T00:05:06.423470,E4:49:12:58:E8:AF
20.58,1020.63,3,1033,26.0,1033.7818918901608,3097,-40,4,2019-10-06T00:10:06.780895,E4:49:12:58:E8:AF
20.66,1020.61,3,1029,26.0,1029.9218416947958,3091,-43,7,2019-10-06T00:15:09.202507,E4:49:12:58:E8:AF
20.72,1020.62,3,1029,25.5,1029.7625939992188,3079,-39,7,2019-10-06T00:20:06.520585,E4:49:12:58:E8:AF
20.79,1020.59,3,1031,25.5,1031.8570637447806,3097,-42,2,2019-10-06T00:25:06.934899,E4:49:12:58:E8:AF
20.85,1020.52,3,1033,25.5,1033.9443892202328,3091,-44,4,2019-10-06T00:30:07.502454,E4:49:12:58:E8:AF
20.91,1020.53,3,1033,25.5,1033.6667741588678,3091,-37,3,2019-10-06T00:35:06.954534,E4:49:12:58:E8:AF
20.97,1020.51,3,1033,25.5,1033.857823881021,3085,-42,3,2019-10-06T00:40:06.475575,E4:49:12:58:E8:AF
21.01,1020.51,3,1031,25.0,1031.822659181315,3097,-41,4,2019-10-06T00:45:08.876438,E4:49:12:58:E8:AF
21.06,1020.45,3,1031,25.0,1031.7548158356228,3079,-39,6,2019-10-06T00:50:07.317593,E4:49:12:58:E8:AF
21.1,1020.43,3,1033,25.0,1033.941004119674,3091,-44,3,2019-10-06T00:55:06.713566,E4:49:12:58:E8:AF
21.14,1020.43,3,1033,25.0,1033.8708816868768,3085,-42,6,2019-10-06T01:00:06.131907,E4:49:12:58:E8:AF
21.18,1020.37,3,1034,25.0,1034.9014445830096,3085,-43,4,2019-10-06T01:05:06.541267,E4:49:12:58:E8:AF
21.24,1020.38,3,1028,25.0,1028.8619926890099,3091,-42,3,2019-10-06T01:10:06.995824,E4:49:12:58:E8:AF
21.28,1020.41,3,1030,24.5,1030.9471373450726,3097,-44,4,2019-10-06T01:15:06.549024,E4:49:12:58:E8:AF
21.32,1020.37,3,1029,24.5,1029.9956310586954,3091,-45,5,2019-10-06T01:20:07.849336,E4:49:12:58:E8:AF
21.35,1020.37,3,1032,24.5,1032.862043062867,3097,-42,4,2019-10-06T01:25:08.324624,E4:49:12:58:E8:AF
21.37,1020.29,3,1033,24.5,1033.8554057507267,3091,-42,2,2019-10-06T01:30:06.699040,E4:49:12:58:E8:AF
21.39,1020.27,3,1031,24.0,1031.8594865581263,3091,-42,3,2019-10-06T01:35:07.184981,E4:49:12:58:E8:AF
21.42,1020.25,3,1030,24.0,1030.820061892472,3091,-41,3,2019-10-06T01:40:08.671630,E4:49:12:58:E8:AF
21.44,1020.21,3,1039,24.0,1039.7932486797556,3091,-40,7,2019-10-06T01:45:07.117741,E4:49:12:58:E8:AF
21.46,1020.2,3,1028,24.0,1029.0291541059466,3091,-46,-1,2019-10-06T01:50:06.580530,E4:49:12:58:E8:AF
21.48,1020.21,3,1031,24.0,1031.8192671199738,3091,-41,3,2019-10-06T01:55:07.064080,E4:49:12:58:E8:AF
21.5,1020.14,3,1029,23.5,1029.8689236985451,3097,-42,5,2019-10-06T02:00:06.431050,E4:49:12:58:E8:AF
21.51,1020.17,3,1031,23.5,1032.1288679229933,3097,-48,5,2019-10-06T02:05:06.975426,E4:49:12:58:E8:AF
21.53,1020.18,3,1030,23.5,1030.9049422715948,3091,-43,4,2019-10-06T02:10:06.385452,E4:49:12:58:E8:AF
21.55,1020.18,3,1029,23.5,1029.9577661244173,3097,-44,6,2019-10-06T02:15:06.820181,E4:49:12:58:E8:AF
21.57,1020.18,3,1032,24.0,1032.7749028709015,3091,-40,0,2019-10-06T02:20:07.203039,E4:49:12:58:E8:AF
21.59,1020.14,3,1032,24.0,1032.8973811565213,3091,-43,2,2019-10-06T02:25:08.689673,E4:49:12:58:E8:AF
21.59,1020.11,3,1038,24.0,1039.0307983885752,3097,-46,5,2019-10-06T02:30:08.165048,E4:49:12:58:E8:AF
21.6,1020.12,3,1033,24.0,1033.8965131965579,3085,-43,2,2019-10-06T02:35:07.630084,E4:49:12:58:E8:AF
21.62,1020.11,3,1031,23.5,1031.8594865581263,3091,-42,3,2019-10-06T02:40:06.053739,E4:49:12:58:E8:AF
21.62,1020.12,3,1034,23.5,1034.820274250558,3091,-41,4,2019-10-06T02:45:06.504428,E4:49:12:58:E8:AF
21.62,1020.12,3,1032,23.5,1032.895928929919,3091,-43,1,2019-10-06T02:50:06.849813,E4:49:12:58:E8:AF
21.63,1020.11,3,1029,23.5,1029.743171863742,3091,-39,3,2019-10-06T02:55:06.252166,E4:49:12:58:E8:AF
21.64,1020.16,3,1034,23.5,1034.9173880073713,3091,-43,7,2019-10-06T03:00:06.655782,E4:49:12:58:E8:AF
21.65,1020.18,3,1033,23.5,1033.9816245949442,3079,-45,2,2019-10-06T03:05:07.186361,E4:49:12:58:E8:AF
21.65,1020.14,3,1030,23.5,1031.0,3097,-45,6,2019-10-06T03:10:06.645664,E4:49:12:58:E8:AF
21.66,1020.17,3,1031,23.5,1031.9137560862341,3097,-43,6,2019-10-06T03:15:07.130043,E4:49:12:58:E8:AF
21.67,1020.22,3,1031,23.5,1031.989341030226,3079,-45,4,2019-10-06T03:20:07.520943,E4:49:12:58:E8:AF
21.67,1020.21,3,1035,23.5,1035.9821427032418,3091,-45,3,2019-10-06T03:25:06.913287,E4:49:12:58:E8:AF
21.68,1020.3,3,1032,23.5,1032.895928929919,3091,-43,1,2019-10-06T03:30:07.417782,E4:49:12:58:E8:AF
21.69,1020.28,3,1030,23.5,1030.990300633328,3091,-45,4,2019-10-06T03:35:06.977844,E4:49:12:58:E8:AF
21.69,1020.29,3,1032,23.5,1033.0740534927784,3097,-47,3,2019-10-06T03:40:06.361256,E4:49:12:58:E8:AF
21.69,1020.32,3,1033,23.0,1033.941004119674,3091,-44,3,2019-10-06T03:45:06.880358,E4:49:12:58:E8:AF
21.69,1020.34,3,1028,23.0,1028.988824040378,3085,-45,3,2019-10-06T03:50:06.297437,E4:49:12:58:E8:AF
21.7,1020.35,3,1032,23.0,1033.0324293070378,3091,-46,4,2019-10-06T03:55:06.840511,E4:49:12:58:E8:AF
21.7,1020.32,3,1031,23.0,1032.268375956563,3097,-51,4,2019-10-06T04:00:07.227177,E4:49:12:58:E8:AF
21.69,1020.3,3,1031,23.0,1032.0300383225288,3091,-46,3,2019-10-06T04:05:07.674070,E4:49:12:58:E8:AF
21.69,1020.24,3,1036,23.0,1037.1624752178416,3097,-49,3,2019-10-06T04:10:07.205092,E4:49:12:58:E8:AF
21.69,1020.27,3,1032,23.0,1032.8562339454606,3091,-42,2,2019-10-06T04:15:06.489209,E4:49:12:58:E8:AF
21.69,1020.23,3,1027,23.0,1027.9931906389263,3085,-45,4,2019-10-06T04:20:06.927272,E4:49:12:58:E8:AF
21.69,1020.19,3,1032,23.0,1033.0934130077492,3091,-47,7,2019-10-06T04:25:09.401970,E4:49:12:58:E8:AF
21.69,1020.17,3,1031,23.0,1032.0300383225288,3091,-46,3,2019-10-06T04:30:06.783725,E4:49:12:58:E8:AF
21.69,1020.18,3,1031,22.5,1031.8628784872533,3091,-42,4,2019-10-06T04:35:06.241556,E4:49:12:58:E8:AF
21.69,1020.19,3,1032,22.5,1033.1277752533808,3097,-48,5,2019-10-06T04:40:06.634945,E4:49:12:58:E8:AF
21.68,1020.19,3,1035,22.5,1036.026061448263,3091,-46,3,2019-10-06T04:45:07.093058,E4:49:12:58:E8:AF
21.68,1020.21,3,1031,22.5,1032.0750941670863,3091,-47,3,2019-10-06T04:50:07.501543,E4:49:12:58:E8:AF
21.69,1020.2,3,1036,22.5,1037.2077901751413,3079,-50,2,2019-10-06T04:55:07.063155,E4:49:12:58:E8:AF
21.69,1020.22,3,1034,22.5,1035.0753595753306,3097,-47,4,2019-10-06T05:00:06.395466,E4:49:12:58:E8:AF
21.7,1020.2,3,1030,22.5,1030.9437424030468,3097,-44,3,2019-10-06T05:05:06.935041,E4:49:12:58:E8:AF
21.71,1020.23,3,1029,22.5,1030.0849479533229,3091,-47,5,2019-10-06T05:10:07.439051,E4:49:12:58:E8:AF
21.72,1020.24,3,1033,22.0,1034.1619795757335,3085,-49,1,2019-10-06T05:15:06.963463,E4:49:12:58:E8:AF
21.7,1020.27,3,1034,21.5,1035.0985460331785,3079,-47,8,2019-10-06T05:20:06.331735,E4:49:12:58:E8:AF
21.69,1020.33,3,1030,21.5,1031.2148175816715,3091,-50,2,2019-10-06T05:25:09.826325,E4:49:12:58:E8:AF
21.68,1020.33,3,1036,21.0,1037.119086701233,2995,-48,4,2019-10-06T05:30:07.275571,E4:49:12:58:E8:AF
21.67,1020.36,3,1030,21.0,1031.117840016358,3085,-48,0,2019-10-06T05:35:06.654904,E4:49:12:58:E8:AF
21.67,1020.32,3,1031,21.0,1032.2194534109499,3085,-50,4,2019-10-06T05:40:07.185624,E4:49:12:58:E8:AF
21.68,1020.32,3,1033,22.0,1033.941004119674,3097,-44,3,2019-10-06T05:45:07.637170,E4:49:12:58:E8:AF
21.71,1020.32,3,1034,22.5,1035.0246373879222,3091,-46,2,2019-10-06T05:50:06.999480,E4:49:12:58:E8:AF
21.74,1020.28,3,1032,22.5,1032.9394948398478,3091,-44,2,2019-10-06T05:55:08.508852,E4:49:12:58:E8:AF
21.76,1020.28,3,1032,22.5,1033.3213440164682,3097,-52,5,2019-10-06T06:00:06.829329,E4:49:12:58:E8:AF
21.78,1020.31,3,1036,22.5,1036.7738422626219,3091,-40,-2,2019-10-06T06:05:07.243286,E4:49:12:58:E8:AF
21.79,1020.31,3,1035,22.5,1036.0743216584417,3091,-47,4,2019-10-06T06:10:07.657110,E4:49:12:58:E8:AF
21.8,1020.27,3,1031,22.0,1032.0334296911124,3091,-46,4,2019-10-06T06:15:07.081735,E4:49:12:58:E8:AF
21.81,1020.18,3,1027,22.0,1028.476057086406,3091,-55,3,2019-10-06T06:20:06.539825,E4:49:12:58:E8:AF
21.82,1020.19,3,1034,22.0,1035.1608570652195,3091,-49,-1,2019-10-06T06:25:06.986071,E4:49:12:58:E8:AF
21.83,1020.21,3,1032,22.0,1033.3619888499866,3091,-53,2,2019-10-06T06:30:06.437490,E4:49:12:58:E8:AF
21.83,1020.17,3,1031,22.0,1032.1656843743644,3097,-49,2,2019-10-06T06:35:06.819415,E4:49:12:58:E8:AF
21.82,1020.22,3,1029,22.0,1030.0276695312607,3091,-46,0,2019-10-06T06:40:06.376150,E4:49:12:58:E8:AF
21.82,1020.31,3,1031,22.0,1032.0712184728338,3091,-47,-1,2019-10-06T06:45:06.742781,E4:49:12:58:E8:AF
21.84,1020.35,3,1031,22.0,1032.3618551651355,3085,-53,1,2019-10-06T06:50:08.099542,E4:49:12:58:E8:AF
21.87,1020.38,3,1035,22.5,1036.1669749610821,3097,-49,4,2019-10-06T06:55:06.624722,E4:49:12:58:E8:AF
21.91,1020.36,3,1035,22.5,1036.3097992395903,3091,-52,3,2019-10-06T07:00:08.027856,E4:49:12:58:E8:AF
21.91,1020.41,3,1032,22.5,1033.0324293070378,3097,-46,4,2019-10-06T07:05:07.542207,E4:49:12:58:E8:AF
21.9,1020.4,3,1037,22.5,1038.1107840688296,3103,-48,1,2019-10-06T07:10:07.123512,E4:49:12:58:E8:AF
21.89,1020.42,3,1034,22.5,1035.257455901671,3091,-51,1,2019-10-06T07:15:06.607248,E4:49:12:58:E8:AF
21.89,1020.43,3,1031,22.5,1032.2121874885997,3079,-50,1,2019-10-06T07:20:07.092797,E4:49:12:58:E8:AF
21.89,1020.45,3,1034,23.0,1035.069562879713,3085,-47,2,2019-10-06T07:25:06.547055,E4:49:12:58:E8:AF
21.89,1020.48,3,1038,23.0,1038.9793068199192,3085,-45,3,2019-10-06T07:30:06.968126,E4:49:12:58:E8:AF
21.89,1020.57,3,1033,23.0,1034.069146624151,3097,-47,-1,2019-10-06T07:35:06.380023,E4:49:12:58:E8:AF
21.89,1020.62,3,1032,23.0,1033.2613415782089,3085,-51,2,2019-10-06T07:40:08.823863,E4:49:12:58:E8:AF
21.88,1020.66,3,1035,23.0,1036.412080207482,3091,-54,3,2019-10-06T07:45:06.231610,E4:49:12:58:E8:AF
21.88,1020.62,3,1034,23.0,1035.0719781734988,3091,-47,-3,2019-10-06T07:50:06.660703,E4:49:12:58:E8:AF
21.87,1020.65,3,1030,22.5,1031.1653601629566,3091,-49,1,2019-10-06T07:55:07.108248,E4:49:12:58:E8:AF
