humidity,pressure,temperature,acceleration_z,acceleration_x,data_format,battery,acceleration,acceleration_y,time,device_mac
24.0,1015.13,21.72,1032,-48,3,3097,1033.1176118913083,-2,2019-10-07T00:00:06.940052,E4:49:12:58:E8:AF
24.0,1015.08,21.73,1034,-47,3,3097,1035.0676306406262,0,2019-10-07T00:05:06.283109,E4:49:12:58:E8:AF
24.0,1015.05,21.74,1026,-48,3,3091,1027.1241405010398,2,2019-10-07T00:10:06.676670,E4:49:12:58:E8:AF
24.0,1015.01,21.76,1033,-49,3,3091,1034.1619795757335,-1,2019-10-07T00:15:07.144591,E4:49:12:58:E8:AF
24.0,1015.03,21.78,1030,-51,3,3097,1031.2637877866166,2,2019-10-07T00:20:06.729737,E4:49:12:58:E8:AF
24.0,1014.96,21.79,1033,-51,3,3079,1034.2586717064546,-1,2019-10-07T00:25:08.073833,E4:49:12:58:E8:AF
24.0,1014.81,21.81,1037,-47,3,3091,1038.064545199382,0,2019-10-07T00:30:07.528288,E4:49:12:58:E8:AF
24.0,1014.77,21.82,1029,-45,3,3091,1029.983495013391,0,2019-10-07T00:35:06.829756,E4:49:12:58:E8:AF
24.0,1014.73,21.83,1032,-45,3,3079,1032.981122770402,1,2019-10-07T00:40:07.380896,E4:49:12:58:E8:AF
24.0,1014.73,21.84,1027,-51,3,3091,1028.2655299094686,0,2019-10-07T00:45:06.821643,E4:49:12:58:E8:AF
24.0,1014.68,21.84,1034,-49,3,3079,1035.16230611436,2,2019-10-07T00:50:06.408262,E4:49:12:58:E8:AF
24.0,1014.62,21.85,1037,-51,3,3097,1038.2552672633065,2,2019-10-07T00:55:06.904865,E4:49:12:58:E8:AF
24.0,1014.58,21.85,1029,-48,3,3085,1030.1208666947778,2,2019-10-07T01:00:06.297938,E4:49:12:58:E8:AF
24.0,1014.56,21.86,1030,-53,3,3085,1031.3646299927102,-2,2019-10-07T01:05:06.843952,E4:49:12:58:E8:AF
24.0,1014.5,21.86,1032,-49,3,3091,1033.164556109045,-2,2019-10-07T01:10:08.276650,E4:49:12:58:E8:AF
24.0,1014.52,21.87,1028,-52,3,3091,1029.3162779243316,2,2019-10-07T01:15:06.701492,E4:49:12:58:E8:AF
24.0,1014.53,21.87,1032,-50,3,3091,1033.2110142657211,-1,2019-10-07T01:20:08.224496,E4:49:12:58:E8:AF
24.0,1014.49,21.87,1032,-50,3,3091,1033.212466049457,2,2019-10-07T01:25:07.761331,E4:49:12:58:E8:AF
24.0,1014.4,21.86,1030,-50,3,3091,1031.2148175816715,2,2019-10-07T01:30:06.198851,E4:49:12:58:E8:AF
