pressure,acceleration_x,battery,acceleration_y,acceleration,temperature,data_format,humidity,acceleration_z,time,device_mac
1006.79,-59,3037,20,1030.8840865975185,21.18,3,32.5,1029,2019-10-08T00:00:07.874731,E4:49:12:58:E8:AF
1006.55,-57,3037,24,1025.8659756517904,21.19,3,33.0,1024,2019-10-08T00:05:07.380648,E4:49:12:58:E8:AF
1006.49,-61,3031,21,1029.0242951456491,21.2,3,33.0,1027,2019-10-08T00:10:06.702624,E4:49:12:58:E8:AF
1006.43,-58,3037,20,1029.8291120375263,21.21,3,33.0,1028,2019-10-08T00:15:07.247241,E4:49:12:58:E8:AF
1006.3,-61,3037,25,1025.1219439656923,21.23,3,33.0,1023,2019-10-08T00:20:06.768848,E4:49:12:58:E8:AF
1006.19,-61,3049,26,1029.1384746476053,21.23,3,33.0,1027,2019-10-08T00:25:07.108260,E4:49:12:58:E8:AF
1006.15,-59,3037,23,1029.9485424039397,21.24,3,33.0,1028,2019-10-08T00:30:06.588190,E4:49:12:58:E8:AF
1006.08,-59,3037,22,1027.9304451177618,21.25,3,32.5,1026,2019-10-08T00:35:07.021322,E4:49:12:58:E8:AF
1006.11,-61,3043,22,1031.0412212904002,21.25,3,33.0,1029,2019-10-08T00:40:06.446744,E4:49:12:58:E8:AF
1006.08,-57,3049,23,1035.8252748412735,21.26,3,33.0,1034,2019-10-08T00:45:06.892089,E4:49:12:58:E8:AF
1006.03,-55,3037,22,1029.7052976458847,21.26,3,33.0,1028,2019-10-08T00:50:06.404931,E4:49:12:58:E8:AF
1005.98,-57,3049,25,1030.8806914478514,21.27,3,32.5,1029,2019-10-08T00:55:06.860105,E4:49:12:58:E8:AF
1005.9,-58,3043,27,1027.9927042542665,21.28,3,33.0,1026,2019-10-08T01:00:07.256929,E4:49:12:58:E8:AF
1005.92,-54,3037,23,1028.6758478743438,21.28,3,33.0,1027,2019-10-08T01:05:07.613692,E4:49:12:58:E8:AF
1005.87,-54,3037,18,1028.5762003857565,21.29,3,32.5,1027,2019-10-08T01:10:08.044877,E4:49:12:58:E8:AF
1005.81,-58,3043,24,1027.9182846899844,21.29,3,33.0,1026,2019-10-08T01:15:06.507618,E4:49:12:58:E8:AF
1005.95,-61,3037,28,1026.1973494411297,21.3,3,33.0,1024,2019-10-08T01:20:07.965419,E4:49:12:58:E8:AF
1005.93,-58,3031,18,1028.7939541035416,21.31,3,33.5,1027,2019-10-08T01:25:06.422375,E4:49:12:58:E8:AF
1005.81,-62,3049,25,1030.171344971311,21.31,3,33.0,1028,2019-10-08T01:30:07.840171,E4:49:12:58:E8:AF
1005.82,-59,3031,23,1031.9447659637603,21.32,3,33.0,1030,2019-10-08T01:35:09.345766,E4:49:12:58:E8:AF
1005.81,-57,3037,20,1030.771555680501,21.33,3,33.0,1029,2019-10-08T01:40:06.833548,E4:49:12:58:E8:AF
1005.83,-60,3055,21,1030.9616869699862,21.33,3,33.0,1029,2019-10-08T01:45:06.265646,E4:49:12:58:E8:AF
1005.71,-57,3031,23,1031.8323507237017,21.33,3,33.0,1030,2019-10-08T01:50:06.737800,E4:49:12:58:E8:AF
1005.72,-56,3043,26,1034.8434664237873,21.33,3,32.5,1033,2019-10-08T01:55:07.180721,E4:49:12:58:E8:AF
1005.64,-56,3031,25,1030.8258824845252,21.33,3,33.0,1029,2019-10-08T02:00:06.582975,E4:49:12:58:E8:AF
1005.53,-58,3031,25,1026.9440101582948,21.34,3,33.0,1025,2019-10-08T02:05:07.954184,E4:49:12:58:E8:AF
1005.41,-61,3043,21,1029.0242951456491,21.34,3,32.5,1027,2019-10-08T02:10:06.457465,E4:49:12:58:E8:AF
1005.37,-56,3031,17,1028.666126593075,21.34,3,32.5,1027,2019-10-08T02:15:06.944436,E4:49:12:58:E8:AF
1005.28,-58,3043,24,1030.9127024147099,21.35,3,32.5,1029,2019-10-08T02:20:06.414491,E4:49:12:58:E8:AF
1005.14,-61,3037,21,1031.0203683730017,21.35,3,32.5,1029,2019-10-08T02:25:06.838939,E4:49:12:58:E8:AF
1005.01,-56,3037,22,1031.755785057685,21.35,3,32.5,1030,2019-10-08T02:30:07.216023,E4:49:12:58:E8:AF
1004.89,-58,3049,20,1025.8362442417406,21.35,3,32.5,1024,2019-10-08T02:35:07.740934,E4:49:12:58:E8:AF
1004.84,-58,3037,25,1029.9383476694127,21.35,3,32.0,1028,2019-10-08T02:40:07.204332,E4:49:12:58:E8:AF
1004.84,-58,3049,24,1032.908998895837,21.35,3,32.5,1031,2019-10-08T02:45:07.636266,E4:49:12:58:E8:AF
1004.75,-62,3031,24,1032.1434008896244,21.35,3,32.5,1030,2019-10-08T02:50:07.207735,E4:49:12:58:E8:AF
1004.68,-56,3037,25,1029.827655484159,21.36,3,32.5,1028,2019-10-08T02:55:06.582471,E4:49:12:58:E8:AF
1004.56,-56,3049,19,1036.6879954933404,21.36,3,32.5,1035,2019-10-08T03:00:07.037468,E4:49:12:58:E8:AF
1004.34,-55,3037,20,1027.6677478640652,21.36,3,33.0,1026,2019-10-08T03:05:06.542915,E4:49:12:58:E8:AF
1004.24,-59,3037,23,1031.9447659637603,21.36,3,32.5,1030,2019-10-08T03:10:07.028174,E4:49:12:58:E8:AF
1004.27,-55,3031,25,1029.773761561247,21.36,3,32.5,1028,2019-10-08T03:15:06.498132,E4:49:12:58:E8:AF
1004.2,-56,3037,26,1030.8506196340961,21.36,3,32.5,1029,2019-10-08T03:20:09.978302,E4:49:12:58:E8:AF
1004.17,-56,3037,19,1031.6961762069295,21.36,3,32.5,1030,2019-10-08T03:25:06.492623,E4:49:12:58:E8:AF
1004.07,-61,3031,19,1034.9739127147118,21.36,3,32.5,1033,2019-10-08T03:30:06.905021,E4:49:12:58:E8:AF
1004.12,-55,3031,21,1030.6827834013723,21.37,3,32.5,1029,2019-10-08T03:35:06.193996,E4:49:12:58:E8:AF
1004.07,-57,3049,24,1033.8515367304922,21.37,3,32.5,1032,2019-10-08T03:40:08.739198,E4:49:12:58:E8:AF
