temperature,battery,humidity,pressure,acceleration,acceleration_z,acceleration_y,acceleration_x,data_format,time,device_mac
21.71,3031,33.0,994.62,1030.9825410742899,1029,22,-60,3,2019-10-09T00:00:06.960548,E4:49:12:58:E8:AF
21.7,3025,33.0,994.64,1032.9428832224946,1031,23,-59,3,2019-10-09T00:05:06.467651,E4:49:12:58:E8:AF
21.7,3037,33.0,994.57,1029.0242951456491,1027,21,-61,3,2019-10-09T00:10:06.854270,E4:49:12:58:E8:AF
21.69,3037,33.5,994.55,1028.9732746772386,1027,24,-59,3,2019-10-09T00:15:06.334154,E4:49:12:58:E8:AF
21.69,3049,33.5,994.53,1028.7949261150154,1027,21,-57,3,2019-10-09T00:20:08.763218,E4:49:12:58:E8:AF
21.68,3037,33.5,994.48,1032.0392434398993,1030,22,-61,3,2019-10-09T00:25:07.258862,E4:49:12:58:E8:AF
21.68,3049,33.5,994.47,1032.1434008896244,1030,18,-64,3,2019-10-09T00:30:06.705115,E4:49:12:58:E8:AF
21.67,3037,33.5,994.43,1026.8753575775397,1025,22,-58,3,2019-10-09T00:35:07.028106,E4:49:12:58:E8:AF
21.67,3031,33.5,994.44,1027.9883267819728,1026,22,-60,3,2019-10-09T00:40:07.555589,E4:49:12:58:E8:AF
21.67,3043,33.5,994.47,1027.889585510039,1026,20,-59,3,2019-10-09T00:45:07.930476,E4:49:12:58:E8:AF
21.67,3049,33.5,994.52,1031.8003682883623,1030,24,-56,3,2019-10-09T00:50:07.243891,E4:49:12:58:E8:AF
21.66,3037,33.5,994.47,1024.953169661912,1023,20,-60,3,2019-10-09T00:55:06.862841,E4:49:12:58:E8:AF
21.66,3031,33.5,994.46,1025.8211345064012,1024,22,-57,3,2019-10-09T01:00:07.323073,E4:49:12:58:E8:AF
21.66,3037,33.5,994.45,1029.988834890942,1028,27,-58,3,2019-10-09T01:05:07.706319,E4:49:12:58:E8:AF
21.65,3031,33.5,994.4,1033.0140366906928,1031,26,-59,3,2019-10-09T01:10:07.211502,E4:49:12:58:E8:AF
21.65,3025,33.5,994.39,1031.7775923133822,1030,23,-56,3,2019-10-09T01:15:07.583930,E4:49:12:58:E8:AF
21.65,3043,33.5,994.34,1032.002422477777,1030,23,-60,3,2019-10-09T01:20:07.023824,E4:49:12:58:E8:AF
