pressure,humidity,acceleration_z,data_format,acceleration,temperature,battery,acceleration_x,acceleration_y,time,device_mac
995.56,37.0,1025,3,1026.7321948784893,21.87,3037,-55,23,2019-10-10T00:00:06.404061,E4:49:12:58:E8:AF
995.5,37.0,1027,3,1028.6705011810147,21.87,3037,-53,25,2019-10-10T00:05:07.761749,E4:49:12:58:E8:AF
995.48,36.5,1027,3,1028.7069553570639,21.86,3031,-55,22,2019-10-10T00:10:07.239428,E4:49:12:58:E8:AF
995.44,36.5,1026,3,1028.0690638279123,21.86,3037,-61,23,2019-10-10T00:15:06.731550,E4:49:12:58:E8:AF
995.45,36.5,1021,3,1022.8108329500621,21.85,3031,-55,26,2019-10-10T00:20:07.124146,E4:49:12:58:E8:AF
995.43,37.0,1031,3,1033.1558449720933,21.85,3049,-61,27,2019-10-10T00:25:07.609967,E4:49:12:58:E8:AF
995.4,36.5,1024,3,1026.111592371902,21.84,3025,-60,27,2019-10-10T00:30:07.068764,E4:49:12:58:E8:AF
995.33,37.0,1027,3,1028.666126593075,21.84,3031,-55,20,2019-10-10T00:35:06.453685,E4:49:12:58:E8:AF
995.29,37.0,1028,3,1029.5596145925695,21.83,3037,-53,20,2019-10-10T00:40:06.914920,E4:49:12:58:E8:AF
995.29,37.0,1036,3,1037.6097532309534,21.83,3031,-53,23,2019-10-10T00:45:08.352393,E4:49:12:58:E8:AF
995.28,37.0,1025,3,1026.829586640354,21.83,3049,-55,27,2019-10-10T00:50:06.877862,E4:49:12:58:E8:AF
995.25,37.0,1029,3,1030.7574884520607,21.82,3031,-56,22,2019-10-10T00:55:06.217993,E4:49:12:58:E8:AF
995.2,37.0,1030,3,1031.6811522946418,21.82,3037,-55,21,2019-10-10T01:00:06.788959,E4:49:12:58:E8:AF
995.17,37.0,1026,3,1027.730509423555,21.82,3043,-55,23,2019-10-10T01:05:07.158702,E4:49:12:58:E8:AF
995.11,37.5,1027,3,1028.633073549553,21.81,3043,-54,21,2019-10-10T01:10:06.629627,E4:49:12:58:E8:AF
995.06,37.0,1027,3,1028.9650139824969,21.81,3031,-58,26,2019-10-10T01:15:06.980201,E4:49:12:58:E8:AF
995.01,37.0,1033,3,1034.6661297249466,21.8,3043,-54,23,2019-10-10T01:20:06.519312,E4:49:12:58:E8:AF
994.85,37.0,1030,3,1031.7465774113332,21.8,3037,-55,24,2019-10-10T01:25:07.802964,E4:49:12:58:E8:AF
994.86,37.5,1027,3,1028.581061462829,21.79,3037,-53,21,2019-10-10T01:30:07.362262,E4:49:12:58:E8:AF
994.83,37.5,1027,3,1028.8376937107232,21.79,3037,-57,23,2019-10-10T01:35:06.663206,E4:49:12:58:E8:AF
994.78,37.5,1023,3,1024.7467979945095,21.79,3031,-56,21,2019-10-10T01:40:07.291849,E4:49:12:58:E8:AF
994.75,37.5,1027,3,1028.9076732146573,21.79,3043,-59,21,2019-10-10T01:45:06.888983,E4:49:12:58:E8:AF
994.76,37.0,1028,3,1029.4896794043154,21.78,3049,-52,19,2019-10-10T01:50:07.244810,E4:49:12:58:E8:AF
994.71,37.5,1029,3,1030.6672595944824,21.78,3037,-53,25,2019-10-10T01:55:07.779324,E4:49:12:58:E8:AF
994.69,37.5,1024,3,1026.0804062060633,21.78,3031,-59,28,2019-10-10T02:00:06.173744,E4:49:12:58:E8:AF
994.65,37.5,1030,3,1031.8454341615318,21.78,3043,-58,21,2019-10-10T02:05:07.642156,E4:49:12:58:E8:AF
994.6,37.5,1029,3,1030.9694466859821,21.77,3037,-59,24,2019-10-10T02:10:07.075436,E4:49:12:58:E8:AF
994.6,37.0,1029,3,1030.7793168278067,21.77,3037,-56,23,2019-10-10T02:15:06.448446,E4:49:12:58:E8:AF
994.58,37.5,1030,3,1031.670974681366,21.77,3043,-54,23,2019-10-10T02:20:07.031918,E4:49:12:58:E8:AF
994.63,37.5,1030,3,1032.132258966844,21.77,3031,-61,26,2019-10-10T02:25:08.438151,E4:49:12:58:E8:AF
994.67,37.5,1023,3,1024.767778572297,21.77,3031,-56,22,2019-10-10T02:30:07.828763,E4:49:12:58:E8:AF
994.68,37.5,1023,3,1024.8873108786156,21.76,3031,-56,27,2019-10-10T02:35:06.260660,E4:49:12:58:E8:AF
994.68,37.5,1027,3,1029.0043731685498,21.76,3019,-61,20,2019-10-10T02:40:06.741288,E4:49:12:58:E8:AF
994.67,37.5,1031,3,1032.989351348793,21.76,3049,-59,25,2019-10-10T02:45:06.191806,E4:49:12:58:E8:AF
994.66,37.5,1026,3,1027.8278065901895,21.76,3031,-55,27,2019-10-10T02:50:06.647369,E4:49:12:58:E8:AF
994.67,37.5,1030,3,1031.8105446253203,21.75,3031,-57,22,2019-10-10T02:55:07.099486,E4:49:12:58:E8:AF
994.7,37.5,1030,3,1031.5565907888913,21.75,3037,-53,20,2019-10-10T03:00:06.536500,E4:49:12:58:E8:AF
994.67,37.5,1026,3,1027.6677478640652,21.75,3025,-55,20,2019-10-10T03:05:07.001286,E4:49:12:58:E8:AF
994.63,38.0,1026,3,1027.9674119348338,21.75,3031,-60,21,2019-10-10T03:10:07.394641,E4:49:12:58:E8:AF
994.55,37.5,1029,3,1030.5479125203253,21.75,3031,-52,22,2019-10-10T03:15:06.798825,E4:49:12:58:E8:AF
994.54,37.5,1030,3,1031.9593015230785,21.75,3037,-58,26,2019-10-10T03:20:06.325192,E4:49:12:58:E8:AF
994.55,38.0,1028,3,1029.674220324079,21.75,3037,-54,23,2019-10-10T03:25:06.741885,E4:49:12:58:E8:AF
994.52,38.0,1031,3,1032.5550832764322,21.75,3043,-53,20,2019-10-10T03:30:07.291977,E4:49:12:58:E8:AF
994.46,38.0,1031,3,1032.7221310691468,21.74,3037,-55,23,2019-10-10T03:35:06.698886,E4:49:12:58:E8:AF
994.39,38.0,1027,3,1028.9164203179964,21.74,3025,-58,24,2019-10-10T03:40:07.048610,E4:49:12:58:E8:AF
994.38,38.0,1026,3,1027.8175908204723,21.74,3031,-57,22,2019-10-10T03:45:06.531546,E4:49:12:58:E8:AF
994.38,38.0,1028,3,1030.019902720331,21.74,3055,-59,26,2019-10-10T03:50:06.999695,E4:49:12:58:E8:AF
994.36,38.0,1026,3,1027.9669255379765,21.74,3037,-58,26,2019-10-10T03:55:07.402881,E4:49:12:58:E8:AF
994.34,38.0,1026,3,1027.8073749492169,21.74,3031,-56,24,2019-10-10T04:00:06.912629,E4:49:12:58:E8:AF
994.35,38.0,1026,3,1027.7489965940126,21.74,3049,-54,26,2019-10-10T04:05:06.305444,E4:49:12:58:E8:AF
994.35,38.0,1025,3,1026.7550827729074,21.73,3031,-55,24,2019-10-10T04:10:07.687070,E4:49:12:58:E8:AF
994.36,38.0,1032,3,1033.841864116558,21.73,3031,-58,21,2019-10-10T04:15:07.110614,E4:49:12:58:E8:AF
994.31,37.5,1026,3,1027.6482861368474,21.73,3031,-53,24,2019-10-10T04:20:07.476568,E4:49:12:58:E8:AF
994.31,37.5,1029,3,1030.8258824845252,21.73,3037,-56,25,2019-10-10T04:25:10.118581,E4:49:12:58:E8:AF
994.33,37.5,1031,3,1032.7879743684084,21.72,3031,-57,21,2019-10-10T04:30:07.525722,E4:49:12:58:E8:AF
994.35,38.0,1020,3,1021.8502825756815,21.73,3037,-57,23,2019-10-10T04:35:06.892753,E4:49:12:58:E8:AF
994.38,38.0,1031,3,1032.7221310691468,21.72,3037,-55,23,2019-10-10T04:40:07.383333,E4:49:12:58:E8:AF
994.36,38.0,1027,3,1028.860534766496,21.72,3037,-57,24,2019-10-10T04:45:06.727317,E4:49:12:58:E8:AF
994.32,38.0,1025,3,1026.8412730310367,21.72,3031,-57,23,2019-10-10T04:50:06.166046,E4:49:12:58:E8:AF
994.28,38.0,1028,3,1029.85872817586,21.72,3031,-57,24,2019-10-10T04:55:06.764023,E4:49:12:58:E8:AF
994.28,38.0,1030,3,1031.991279032919,21.72,3037,-59,25,2019-10-10T05:00:08.114462,E4:49:12:58:E8:AF
994.28,38.0,1032,3,1033.9874273897144,21.72,3031,-59,25,2019-10-10T05:05:07.613299,E4:49:12:58:E8:AF
994.28,38.0,1030,3,1031.8551254900078,21.72,3031,-57,24,2019-10-10T05:10:07.038321,E4:49:12:58:E8:AF
994.25,38.0,1023,3,1024.9726825628086,21.72,3049,-58,26,2019-10-10T05:15:07.421963,E4:49:12:58:E8:AF
994.21,38.0,1024,3,1025.7338836169936,21.72,3037,-55,23,2019-10-10T05:20:06.830112,E4:49:12:58:E8:AF
994.23,38.0,1031,3,1032.9578887834682,21.72,3031,-60,21,2019-10-10T05:25:08.291071,E4:49:12:58:E8:AF
994.2,38.0,1028,3,1029.6936437601235,21.72,3031,-53,26,2019-10-10T05:30:06.854265,E4:49:12:58:E8:AF
994.2,38.5,1024,3,1025.7567937869094,21.72,3031,-55,24,2019-10-10T05:35:06.211145,E4:49:12:58:E8:AF
994.22,38.0,1030,3,1031.6191157593,21.72,3049,-53,23,2019-10-10T05:40:06.697431,E4:49:12:58:E8:AF
994.22,38.5,1025,3,1026.7643351811553,21.73,3031,-56,22,2019-10-10T05:45:08.110084,E4:49:12:58:E8:AF
994.25,38.0,1030,3,1031.755785057685,21.73,3037,-56,22,2019-10-10T05:50:07.489662,E4:49:12:58:E8:AF
994.26,37.5,1029,3,1030.834128267007,21.73,3049,-57,23,2019-10-10T05:55:07.119191,E4:49:12:58:E8:AF
994.23,37.5,1023,3,1025.004878037173,21.74,3037,-59,25,2019-10-10T06:00:08.710242,E4:49:12:58:E8:AF
994.23,38.0,1030,3,1031.6811522946418,21.75,3043,-55,21,2019-10-10T06:05:08.090869,E4:49:12:58:E8:AF
994.22,38.5,1031,3,1032.932718041209,21.75,3037,-58,25,2019-10-10T06:10:07.500929,E4:49:12:58:E8:AF
994.26,38.0,1030,3,1031.715076947119,21.76,3043,-56,20,2019-10-10T06:15:08.005445,E4:49:12:58:E8:AF
994.26,38.0,1027,3,1028.7949261150154,21.75,3049,-57,21,2019-10-10T06:20:07.330057,E4:49:12:58:E8:AF
994.27,38.5,1027,3,1028.8376937107232,21.75,3037,-57,23,2019-10-10T06:25:06.819082,E4:49:12:58:E8:AF
994.29,38.5,1024,3,1025.7450950406733,21.75,3037,-56,21,2019-10-10T06:30:06.136709,E4:49:12:58:E8:AF
994.29,38.5,1031,3,1032.7221310691468,21.75,3031,-55,23,2019-10-10T06:35:06.618838,E4:49:12:58:E8:AF
994.33,38.5,1024,3,1025.7806783128642,21.74,3049,-55,25,2019-10-10T06:40:07.197310,E4:49:12:58:E8:AF
994.36,38.5,1027,3,1028.5071706118533,21.74,3031,-53,17,2019-10-10T06:45:06.683389,E4:49:12:58:E8:AF
994.35,38.5,1029,3,1030.6827834013723,21.73,3031,-55,21,2019-10-10T06:50:08.141350,E4:49:12:58:E8:AF
994.37,38.5,1032,3,1033.7204651161744,21.73,3031,-55,23,2019-10-10T06:55:06.657088,E4:49:12:58:E8:AF
994.43,38.5,1026,3,1027.8560210457495,21.73,3031,-56,26,2019-10-10T07:00:07.081882,E4:49:12:58:E8:AF
994.42,38.5,1030,3,1031.7238002488843,21.73,3025,-55,23,2019-10-10T07:05:06.663901,E4:49:12:58:E8:AF
994.42,38.5,1030,3,1031.755785057685,21.73,3037,-56,22,2019-10-10T07:10:07.193600,E4:49:12:58:E8:AF
994.44,38.5,1026,3,1027.9669255379765,21.72,3037,-58,26,2019-10-10T07:15:06.661285,E4:49:12:58:E8:AF
994.49,38.5,1027,3,1028.6758478743438,21.72,3037,-54,23,2019-10-10T07:20:08.082552,E4:49:12:58:E8:AF
994.5,38.5,1030,3,1031.8454341615318,21.72,3049,-58,21,2019-10-10T07:25:06.626058,E4:49:12:58:E8:AF
994.5,38.5,1025,3,1026.829586640354,21.72,3037,-55,27,2019-10-10T07:30:07.012476,E4:49:12:58:E8:AF
994.52,39.0,1028,3,1030.0063106602795,21.72,3031,-60,23,2019-10-10T07:35:06.402711,E4:49:12:58:E8:AF
994.54,38.5,1028,3,1029.8038648208696,21.72,3031,-56,24,2019-10-10T07:40:06.891990,E4:49:12:58:E8:AF
994.5,38.5,1030,3,1031.903580767118,21.72,3037,-57,26,2019-10-10T07:45:08.223313,E4:49:12:58:E8:AF
994.49,38.5,1031,3,1032.7879743684084,21.72,3025,-57,21,2019-10-10T07:50:06.652261,E4:49:12:58:E8:AF
994.47,38.5,1031,3,1032.9574047365168,21.72,3037,-58,26,2019-10-10T07:55:06.047048,E4:49:12:58:E8:AF
994.47,38.5,1028,3,1029.9058209370407,21.72,3031,-59,21,2019-10-10T08:00:06.580941,E4:49:12:58:E8:AF
994.5,39.0,1028,3,1029.798523984182,21.72,3037,-55,26,2019-10-10T08:05:07.962594,E4:49:12:58:E8:AF
994.51,38.5,1026,3,1027.8073749492169,21.72,3031,-56,24,2019-10-10T08:10:06.409113,E4:49:12:58:E8:AF
994.53,38.5,1033,3,1034.8270386881086,21.71,3031,-57,23,2019-10-10T08:15:06.945834,E4:49:12:58:E8:AF
