temperature,acceleration,acceleration_x,battery,data_format,acceleration_y,pressure,humidity,acceleration_z,time,device_mac
21.79,1027.531508032722,-52,3037,3,21,995.63,40.0,1026,2019-10-11T00:00:07.005203,E4:49:12:58:E8:AF
21.79,1031.7950377860905,-55,3037,3,26,995.6,40.5,1030,2019-10-11T00:05:06.316013,E4:49:12:58:E8:AF
21.79,1031.607483493601,-55,3031,3,17,995.62,40.5,1030,2019-10-11T00:10:06.811721,E4:49:12:58:E8:AF
21.79,1031.6961762069295,-56,3037,3,19,995.62,40.0,1030,2019-10-11T00:15:07.250723,E4:49:12:58:E8:AF
21.79,1024.8448663090428,-57,3043,3,23,995.54,40.0,1023,2019-10-11T00:20:06.608682,E4:49:12:58:E8:AF
21.78,1029.773761561247,-55,3037,3,25,995.53,40.0,1028,2019-10-11T00:25:07.173073,E4:49:12:58:E8:AF
21.78,1028.6705011810147,-53,3031,3,25,995.55,40.5,1027,2019-10-11T00:30:06.591871,E4:49:12:58:E8:AF
21.78,1029.499392909,-51,3037,3,22,995.53,40.0,1028,2019-10-11T00:35:07.151920,E4:49:12:58:E8:AF
21.77,1029.600407925327,-53,3043,3,22,995.54,40.0,1028,2019-10-11T00:40:06.548787,E4:49:12:58:E8:AF
21.77,1035.5834104503606,-54,3037,3,19,995.54,40.0,1034,2019-10-11T00:45:06.912570,E4:49:12:58:E8:AF
21.77,1033.8205840473481,-56,3037,3,25,995.51,40.0,1032,2019-10-11T00:50:06.420941,E4:49:12:58:E8:AF
21.77,1027.7241847888956,-54,3043,3,25,995.51,40.0,1026,2019-10-11T00:55:08.800529,E4:49:12:58:E8:AF
21.77,1031.6811522946418,-55,3037,3,21,995.48,40.0,1030,2019-10-11T01:00:08.290982,E4:49:12:58:E8:AF
21.77,1029.6970428237619,-54,3043,3,24,995.49,40.0,1028,2019-10-11T01:05:06.559262,E4:49:12:58:E8:AF
21.77,1034.7898337343674,-55,3037,3,26,995.47,40.0,1033,2019-10-11T01:10:06.993592,E4:49:12:58:E8:AF
21.76,1029.6314874750092,-54,3037,3,21,995.5,39.5,1028,2019-10-11T01:15:08.474423,E4:49:12:58:E8:AF
21.76,1028.7225087456773,-54,3037,3,25,995.52,40.0,1027,2019-10-11T01:20:06.857064,E4:49:12:58:E8:AF
