acceleration_y,data_format,pressure,acceleration_z,battery,temperature,acceleration,acceleration_x,humidity,time,device_mac
-69,3,990.53,992,3073,21.85,1034.1571447318827,284,38.0,2019-10-12T10:50:07.647624,E4:49:12:58:E8:AF
-72,3,990.57,996,3073,21.85,1036.573200502502,278,38.0,2019-10-12T10:55:08.015184,E4:49:12:58:E8:AF
-76,3,990.58,996,3079,21.86,1036.8587174731183,278,38.0,2019-10-12T11:00:07.439166,E4:49:12:58:E8:AF
-74,3,990.61,992,3079,21.86,1033.6832203339668,281,38.0,2019-10-12T11:05:07.883191,E4:49:12:58:E8:AF
-69,3,990.71,994,3067,21.87,1034.447195365718,278,39.0,2019-10-12T11:10:07.334454,E4:49:12:58:E8:AF
-70,3,990.76,997,3073,21.85,1037.9349690611643,280,40.0,2019-10-12T11:15:06.781377,E4:49:12:58:E8:AF
-67,3,990.75,993,3067,21.84,1035.2598707570965,285,41.0,2019-10-12T11:20:07.284416,E4:49:12:58:E8:AF
-74,3,990.77,992,3073,21.83,1033.6832203339668,281,41.5,2019-10-12T11:25:06.788046,E4:49:12:58:E8:AF
-76,3,990.77,994,3067,21.83,1035.206742636465,279,42.0,2019-10-12T11:30:06.225444,E4:49:12:58:E8:AF
-72,3,990.77,992,3079,21.83,1033.5419681851338,281,42.5,2019-10-12T11:35:06.741645,E4:49:12:58:E8:AF
-76,3,990.78,996,3067,21.82,1038.483509739081,284,43.0,2019-10-12T11:40:06.147577,E4:49:12:58:E8:AF
-74,3,990.76,995,3079,21.82,1037.3798725635659,284,43.5,2019-10-12T11:45:06.630270,E4:49:12:58:E8:AF
-74,3,990.75,992,3073,21.81,1033.9555116154659,282,43.5,2019-10-12T11:50:07.126128,E4:49:12:58:E8:AF
-75,3,990.83,991,3073,21.79,1032.5240917286144,280,43.5,2019-10-12T11:55:06.586480,E4:49:12:58:E8:AF
-72,3,990.85,991,3067,21.79,1033.1282592205093,283,44.0,2019-10-12T12:00:06.976482,E4:49:12:58:E8:AF
