temperature,battery,acceleration,acceleration_x,acceleration_z,pressure,data_format,humidity,device_mac,acceleration_y,time
21.34,3073,1034.3326350840914,296,988,993.74,3,52.0,E4:49:12:58:E8:AF,-78,2019-10-12T22:00:03.641907
21.34,3061,1036.3107642015498,290,992,993.81,3,51.5,E4:49:12:58:E8:AF,-76,2019-10-12T22:05:03.068613
21.33,3061,1038.4493247144994,290,994,993.85,3,52.0,E4:49:12:58:E8:AF,-79,2019-10-12T22:10:04.530930
21.33,3067,1035.6548652905562,290,991,993.87,3,52.0,E4:49:12:58:E8:AF,-80,2019-10-12T22:15:03.996361
21.32,3061,1030.7181962107782,290,986,993.91,3,51.5,E4:49:12:58:E8:AF,-78,2019-10-12T22:20:03.375054
21.32,3073,1037.6685405272726,288,994,993.89,3,51.5,E4:49:12:58:E8:AF,-76,2019-10-12T22:25:03.875979
21.32,3073,1038.32075968845,294,993,993.92,3,52.0,E4:49:12:58:E8:AF,-75,2019-10-12T22:30:04.353582
21.32,3061,1032.707606246802,290,988,993.98,3,52.0,E4:49:12:58:E8:AF,-79,2019-10-12T22:35:03.720790
21.32,3061,1034.8536128361345,295,989,994.04,3,51.5,E4:49:12:58:E8:AF,-76,2019-10-12T22:40:03.131177
21.31,3061,1037.081481851836,293,992,994.08,3,52.0,E4:49:12:58:E8:AF,-75,2019-10-12T22:45:03.558358
21.3,3067,1040.836682674088,293,996,994.16,3,51.5,E4:49:12:58:E8:AF,-74,2019-10-12T22:50:04.024458
21.29,3067,1033.1437460489224,291,988,994.21,3,52.0,E4:49:12:58:E8:AF,-81,2019-10-12T22:55:03.438789
21.28,3073,1037.4844577149095,297,991,994.24,3,52.0,E4:49:12:58:E8:AF,-78,2019-10-12T23:00:03.830584
21.28,3073,1033.0140366906928,289,989,994.26,3,52.0,E4:49:12:58:E8:AF,-74,2019-10-12T23:05:03.341157
21.27,3079,1036.7396008641708,291,992,994.26,3,52.0,E4:49:12:58:E8:AF,-78,2019-10-12T23:10:04.827432
21.26,3073,1037.0207326760637,292,992,994.35,3,52.0,E4:49:12:58:E8:AF,-78,2019-10-12T23:15:03.290581
21.25,3067,1034.510028950904,293,989,994.37,3,52.0,E4:49:12:58:E8:AF,-79,2019-10-12T23:20:03.693846
21.24,3067,1033.3082792661637,289,989,994.39,3,52.0,E4:49:12:58:E8:AF,-78,2019-10-12T23:25:03.085768
21.24,3067,1037.1986309285219,296,991,994.4,3,52.0,E4:49:12:58:E8:AF,-78,2019-10-12T23:30:05.551995
21.23,3067,1037.8020042378025,289,994,994.41,3,52.0,E4:49:12:58:E8:AF,-74,2019-10-12T23:35:03.993931
21.22,3073,1036.6648445857513,291,992,994.46,3,51.5,E4:49:12:58:E8:AF,-77,2019-10-12T23:40:03.420305
21.21,3067,1036.2716825234588,293,991,994.47,3,52.0,E4:49:12:58:E8:AF,-77,2019-10-12T23:45:03.934707
21.21,3061,1035.4274479653318,290,991,994.5,3,52.0,E4:49:12:58:E8:AF,-77,2019-10-12T23:50:03.458365
21.2,3061,1035.4520751826228,294,990,994.53,3,52.0,E4:49:12:58:E8:AF,-75,2019-10-12T23:55:03.935552
21.2,3067,1036.565965098218,288,993,994.55,3,51.5,E4:49:12:58:E8:AF,-74,2019-10-13T00:00:04.352404
21.2,3073,1034.2122606119112,293,989,994.49,3,52.0,E4:49:12:58:E8:AF,-75,2019-10-13T00:05:03.671452
21.2,3073,1036.7053583347586,294,991,994.48,3,51.5,E4:49:12:58:E8:AF,-79,2019-10-13T00:10:03.160187
21.19,3079,1040.4542277294086,294,995,994.47,3,51.5,E4:49:12:58:E8:AF,-78,2019-10-13T00:15:03.654959
21.19,3061,1033.9390697715219,287,990,994.48,3,52.0,E4:49:12:58:E8:AF,-81,2019-10-13T00:20:04.172524
21.18,3067,1031.5997285769322,290,987,994.53,3,52.0,E4:49:12:58:E8:AF,-77,2019-10-13T00:25:03.564582
21.18,3073,1033.4011805683213,295,987,994.57,3,51.5,E4:49:12:58:E8:AF,-82,2019-10-13T00:30:04.969357
21.17,3073,1031.956394427594,291,987,994.62,3,51.5,E4:49:12:58:E8:AF,-78,2019-10-13T00:35:03.345770
21.17,3073,1039.3392131542041,296,993,994.67,3,51.5,E4:49:12:58:E8:AF,-81,2019-10-13T00:40:04.784542
21.17,3073,1038.7290310759588,291,994,994.75,3,51.5,E4:49:12:58:E8:AF,-79,2019-10-13T00:45:03.102326
21.17,3073,1037.696487418166,291,993,994.83,3,51.5,E4:49:12:58:E8:AF,-78,2019-10-13T00:50:03.519381
21.17,3061,1039.8846089831313,288,996,994.94,3,51.5,E4:49:12:58:E8:AF,-80,2019-10-13T00:55:03.980840
21.16,3073,1035.707970424096,291,991,995.04,3,51.5,E4:49:12:58:E8:AF,-77,2019-10-13T01:00:03.511039
21.17,3073,1034.3413363102143,289,990,995.16,3,51.5,E4:49:12:58:E8:AF,-79,2019-10-13T01:05:03.937904
21.16,3061,1037.492168645142,290,993,995.22,3,52.0,E4:49:12:58:E8:AF,-79,2019-10-13T01:10:03.338747
21.15,3061,1035.537058728465,288,992,995.29,3,51.5,E4:49:12:58:E8:AF,-73,2019-10-13T01:15:03.820972
21.15,3073,1034.139255613092,288,990,995.34,3,51.5,E4:49:12:58:E8:AF,-80,2019-10-13T01:20:03.228750
21.15,3079,1032.9423991685112,295,987,995.41,3,51.5,E4:49:12:58:E8:AF,-76,2019-10-13T01:25:05.562150
21.15,3061,1037.4034894870945,291,993,995.49,3,51.5,E4:49:12:58:E8:AF,-74,2019-10-13T01:30:03.958686
21.14,3061,1031.8691777546221,287,988,995.55,3,51.0,E4:49:12:58:E8:AF,-79,2019-10-13T01:35:03.409700
21.14,3061,1033.8612092539308,287,990,995.64,3,51.5,E4:49:12:58:E8:AF,-80,2019-10-13T01:40:03.818110
21.14,3079,1036.4593576209345,290,992,995.73,3,51.0,E4:49:12:58:E8:AF,-78,2019-10-13T01:45:03.205927
21.13,3067,1035.4274479653318,290,991,995.72,3,51.5,E4:49:12:58:E8:AF,-77,2019-10-13T01:50:03.780202
21.13,3067,1036.6648445857513,291,992,995.78,3,51.5,E4:49:12:58:E8:AF,-77,2019-10-13T01:55:03.122193
